,species,decimalLatitude,decimalLongitude
2260,Quercus virginiana,29.219003,-94.934719
2245,Quercus virginiana,29.219343,-94.934668
1301,Ilex opaca,29.219398,-94.934605
2250,Quercus virginiana,29.21952,-94.934067
2504,Triadica sebifera,29.219638,-94.923613
2515,Triadica sebifera,29.22386,-94.927929
2517,Triadica sebifera,29.224008,-94.93505
2492,Triadica sebifera,29.224742,-94.927294
2506,Triadica sebifera,29.226683,-94.910408
2530,Triadica sebifera,29.231052,-94.922108
2507,Triadica sebifera,29.238161,-94.901837
2509,Triadica sebifera,29.262983,-95.182582
2370,Salix nigra,29.263235,-95.182824
2292,Quercus virginiana,29.27719,-94.844316
2836,Ulmus crassifolia,29.310328,-95.26825
2014,Quercus nigra,29.310969,-95.267286
1992,Quercus michauxii,29.311436,-95.26885
2824,Ulmus americana,29.311589,-95.265647
2043,Quercus pagoda,29.31221,-95.26604
1799,Pinus taeda,29.313333,-95.252222
2026,Quercus nigra,29.331719,-95.28479
2495,Triadica sebifera,29.3349,-94.9382
2516,Triadica sebifera,29.353219,-94.970125
1233,Fraxinus pennsylvanica,29.355129,-94.985245
793,Diospyros virginiana,29.357673,-94.98782
2497,Triadica sebifera,29.357673,-94.98782
2502,Triadica sebifera,29.365187,-94.988149
815,Diospyros virginiana,29.370903,-94.977028
2496,Triadica sebifera,29.372118,-94.95955
2392,Taxodium distichum,29.384514,-94.984055
1260,Gleditsia triacanthos,29.393652,-94.911187
1506,Magnolia grandiflora,29.394221,-94.953944
2493,Triadica sebifera,29.396526,-94.999242
2389,Taxodium distichum,29.417076,-94.973064
2368,Salix nigra,29.418138,-94.956748
751,Celtis laevigata,29.424003,-94.96025
2256,Quercus virginiana,29.424068,-94.958636
752,Celtis laevigata,29.424167,-94.960187
2529,Triadica sebifera,29.424409,-94.960432
754,Celtis laevigata,29.424778,-94.96066
2255,Quercus virginiana,29.425022,-94.958178
2514,Triadica sebifera,29.425226,-94.960585
812,Diospyros virginiana,29.42555,-94.956762
2251,Quercus virginiana,29.425567,-94.956313
2523,Triadica sebifera,29.431613,-94.943413
2518,Triadica sebifera,29.432731,-94.956015
2374,Salix nigra,29.502644,-94.981223
830,Diospyros virginiana,29.576927,-94.697704
2364,Sassafras albidum,29.650022,-94.638458
2315,Sassafras albidum,29.650278,-94.638611
2286,Quercus virginiana,29.660578,-94.651193
2233,Quercus shumardii,29.66691,-95.469934
2511,Triadica sebifera,29.822,-94.666788
2380,Taxodium distichum,29.822057,-94.66677
756,Celtis laevigata,29.887525,-93.399925
1389,Liquidambar styraciflua,29.973386,-95.333126
1702,Pinus elliottii,30.007952,-81.329842
1496,Magnolia grandiflora,30.009419,-81.330292
1298,Ilex opaca,30.011875,-81.331763
1390,Liquidambar styraciflua,30.013406,-81.332003
1491,Magnolia grandiflora,30.014259,-81.321255
271,Acer rubrum,30.014414,-81.332353
1686,Persea borbonia,30.019753,-81.322716
1505,Magnolia grandiflora,30.022182,-81.332745
1696,Persea borbonia,30.022236,-81.333113
1504,Magnolia grandiflora,30.022325,-81.333162
1497,Magnolia grandiflora,30.022439,-81.333038
732,Carya glabra,30.022594,-81.326228
836,Diospyros virginiana,30.022594,-81.326228
1324,Ilex opaca,30.022594,-81.326228
1387,Liquidambar styraciflua,30.022594,-81.326228
1499,Magnolia grandiflora,30.022594,-81.326228
1716,Pinus elliottii,30.022594,-81.326228
2261,Quercus virginiana,30.022675,-81.326195
1484,Magnolia grandiflora,30.022679,-81.333082
1290,Ilex opaca,30.023022,-81.333078
1687,Persea borbonia,30.027008,-81.324722
1695,Persea borbonia,30.027074,-81.325897
1685,Persea borbonia,30.0433,-81.3287
1999,Quercus minima,30.2076,-83.7358
