"","Species","EOO.norm","EOO.norm.issues","EOO.alpha","EOO.alpha.issue","nLocations","centroidX","centroidY","latRange","greatCircDist","meanPairDist","minSpanTree"
"17","Betula populifolia",654656,NA,65828,NA,3225,-72.70743,42.37572,9.792068,1591.721,284.1825,14053.61
"18","Carpinus caroliniana",3543924,NA,183945,NA,10267,-79.63914,39.33226,18.84403,2873.988,806.0826,56064.37
"19","Carya alba",2552414,NA,178608,NA,2692,-82.07992,37.11201,13.6137,2594.249,823.097,32143.07
"20","Carya aquatica",1619489,NA,143227,NA,492,-86.45682,31.04791,10.73699,2094.922,754.2737,10023.39
"21","Carya cordiformis",3360190,NA,200612,NA,4845,-82.07982,40.82967,17.74787,2619.453,852.4299,43375.97
"22","Carya glabra",2825681,NA,179493,NA,3738,-80.37893,37.26388,17.329,2534.152,870.0933,38140.73
"23","Carya illinoinensis",1587268,NA,119172,NA,5740,-96.72968,32.14591,13.37009,1992.88,322.5927,22937.14
"24","Carya ovata",2647434,NA,166656,NA,7717,-80.71247,40.9409,15.26428,2785.033,788.7058,44266.33
"25","Carya texana",675556,NA,77678,NA,699,-94.59776,33.88904,11.54183,1542.163,492.9538,10185.18
"26","Castanea dentata",1319566,NA,122028,NA,8252,-76.03717,40.55213,13.74962,2325.672,517.336,28029.31
"27","Celtis laevigata",3308941,NA,197382,NA,10843,-94.79324,32.10873,14.49997,2683.774,568.1555,42053.98
"28","Celtis occidentalis",3499348,NA,246376,NA,11362,-82.02118,40.99163,16.38845,2753.718,845.3279,50264.01
"29","Cercis canadensis",5233721,NA,217660,NA,35914,-85.39204,37.43145,19.04966,3571.419,1018.165,102285.4
"30","Chamaecyparis thyoides",971197,NA,101832,NA,1903,-76.05856,38.80778,15.14813,2372.619,656.6029,7906.609
"31","Cornus florida",2966525,NA,169483,NA,23894,-80.96136,38.26288,15.68978,2847.887,769.0246,79481.74
"32","Diospyros virginiana",2970631,NA,165698,NA,18654,-85.60584,35.22285,16.4775,2578.47,930.6251,77300.9
"33","Fagus grandifolia",3157807,NA,190919,NA,45918,-77.7944,40.50018,17.47076,3013.23,712.9548,89639.8
"34","Fraxinus albicans",64763,NA,19017.6,NA,49,-97.63296,31.65843,4.957105,578.515,159.8146,980.2462
"35","Fraxinus americana",3883855,NA,216178,NA,6898,-78.26852,40.76099,18.92402,3030.893,768.3421,50681.25
"36","Fraxinus caroliniana",1357062,NA,136513,NA,640,-82.95401,30.19171,11.73526,1945.926,569.146,9508.847
"37","Fraxinus pennsylvanica",5493725,NA,325601,NA,40380,-75.75943,40.66004,20.16642,3271.725,332.1386,61345.2
"38","Fraxinus profunda",1230912,NA,79601,NA,140,-86.33016,35.51686,10.17772,1616.636,667.414,5435.02
"39","Fraxinus quadrangulata",874705,NA,97687,NA,957,-87.35091,39.11846,9.92944,1306.789,442.931,9045.528
"40","Gleditsia aquatica",1366109,NA,124065,NA,413,-86.75762,31.19319,11.30366,1671.498,731.6394,6946.45
"41","Gleditsia triacanthos",2849960,NA,161270,NA,9725,-91.77297,36.41216,15.54433,2413.209,799.9199,46812.25
"42","Gordonia lasianthus",657282,NA,84478,NA,1642,-81.28966,30.09254,9.000951,1421.153,363.8944,8167.568
"43","Gymnocladus dioicus",1788277,NA,153215,NA,2036,-89.42661,40.04834,11.18486,2185.387,620.8964,19519.93
"44","Ilex opaca",2265936,NA,154369,NA,21532,-79.75625,37.27452,15.57607,2855.989,702.9383,54130.61
"45","Juglans cinerea",2232992,NA,179925,NA,2200,-79.64572,42.04507,13.49646,2217.409,771.7862,24670.23
"46","Juglans nigra",3467059,NA,184607,NA,14942,-82.60368,39.48135,16.06967,2839.587,842.4465,70453.24
"47","Juniperus virginiana",3955967,NA,195904,NA,26911,-85.06736,38.16342,16.49583,2994.709,1103.398,96171.86
"48","Liquidambar styraciflua",2299666,NA,145520,NA,51647,-79.61647,37.52375,14.44308,2424.387,NA,NA
"49","Liriodendron tulipifera",2254323,NA,137231,NA,40920,-79.81581,38.49228,16.25955,2333.792,617.4656,84697.62
"50","Maclura pomifera",385234,NA,42313,NA,5402,-96.97749,32.22757,6.28514,1056.123,172.4569,8456.278
"51","Magnolia acuminata",1390534,NA,143962,NA,2137,-81.67797,38.68807,12.80062,2019.605,544.16,18363.61
"52","Magnolia fraseri",128524,NA,32188,NA,1785,-82.38421,35.95054,5.300917,706.2353,158.6819,4462.249
"53","Magnolia grandiflora",1110638,NA,115038,NA,6014,-85.6222,30.75339,9.215328,1975.556,609.134,19405.74
"54","Magnolia macrophylla",647679,NA,75288,NA,1667,-85.79519,34.68107,8.837646,1424.479,355.4768,7723.463
"55","Magnolia virginiana",1887971,NA,157805,NA,4544,-81.54551,34.1416,15.88869,2419.883,851.0243,25869.8
"56","Morus rubra",4165409,NA,212663,NA,5289,-88.0326,35.05281,19.54682,3037.381,967.5454,54687.01
"57","Nyssa aquatica",1153068,NA,119492,NA,610,-86.79165,33.91245,7.968716,1976.641,694.0243,9434.961
"58","Nyssa biflora",1949325,NA,145586,NA,780,-84.26256,31.39655,14.15962,2174.082,548.0616,13982.75
"59","Nyssa ogeche",106989,NA,29340.6,NA,216,-83.68748,30.63297,3.007173,507.9658,185,2240.351
"60","Nyssa sylvatica",2936033,NA,169322,NA,8091,-79.51832,38.63677,17.41636,2751.968,758.3335,49513.32
"61","Ostrya virginiana",4620145,NA,236695,NA,9785,-81.31856,41.08914,19.3478,3018.536,992.2148,60130.17
"62","Oxydendrum arboreum",1095810,NA,104044,NA,4672,-82.61007,35.48031,10.3213,1739.698,413.202,23028.02
"63","Paulownia tomentosa",3008460,NA,218321,NA,8766,-79.19605,38.43706,15.26366,3058.13,614.4693,40609.88
"64","Persea borbonia",1595407,NA,120134,NA,822,-86.08479,29.80466,12.52459,2263.934,716.0355,8129.454
"65","Pinus clausa",201309,NA,41177,NA,1397,-82.00886,28.44504,4.870981,880.2501,256.259,4102.058
"66","Pinus echinata",1704981,NA,144297,NA,2379,-85.50751,35.38656,11.35094,2324.538,778.4531,24342.95
"67","Pinus elliottii",610434,NA,81324,NA,2041,-81.99487,27.96224,8.870729,1183.139,308.5931,8641.027
"68","Pinus glabra",346787,NA,63368,NA,484,-85.92667,31.21647,3.723853,1148.374,425.261,5333.612
"69","Pinus palustris",1161366,NA,117824,NA,5627,-83.60521,31.60521,10.74638,1936.473,641.9913,18167.16
"70","Pinus pungens",226611,NA,49477,NA,783,-80.26559,37.50453,6.513082,1036.81,319.2538,4780.605
"71","Pinus rigida",786972,NA,92530,NA,10150,-72.74258,41.80413,11.13208,1817.213,249.0015,15944.7
"72","Pinus serotina",632639,NA,89163,NA,508,-79.91524,32.50431,12.01931,1446.98,456.12,5665.311
"73","Pinus taeda",1640613,NA,131693,NA,5310,-85.76261,33.81525,11.89171,2351.596,904.6822,28536.98
"74","Pinus virginiana",810677,NA,85818,NA,3916,-80.11341,37.63559,9.147672,1515.271,468.7557,20489.32
