"","species","gbif","soil","difference"
"1","Abies fraseri",797,797,0
"2","Acer barbatum",255,221,34
"3","Acer leucoderme",282,257,25
"4","Acer negundo",37443,32706,4737
"5","Acer nigrum",1080,1010,70
"6","Acer pensylvanicum",14321,13202,1119
"7","Acer rubrum",74483,70995,3488
"8","Acer saccharinum",49250,47593,1657
"9","Acer saccharum",30888,29558,1330
"10","Aesculus glabra",3173,2963,210
"11","Annona glabra",1733,1240,493
"12","Asimina triloba",23884,22497,1387
"13","Betula alleghaniensis",11296,10366,930
"14","Betula lenta",4610,4339,271
"15","Betula nigra",5602,4827,775
"16","Betula populifolia",3729,3225,504
"17","Carpinus caroliniana",10837,10267,570
"18","Carya alba",2783,2692,91
"19","Carya aquatica",536,492,44
"20","Carya cordiformis",5204,4847,357
"21","Carya glabra",3931,3738,193
"22","Carya illinoinensis",6053,5740,313
"23","Carya ovata",8329,7717,612
"24","Carya texana",748,699,49
"25","Castanea dentata",8770,8252,518
"26","Celtis laevigata",11366,10843,523
"27","Celtis occidentalis",12129,11362,767
"28","Cercis canadensis",38495,35914,2581
"29","Chamaecyparis thyoides",2062,1903,159
"30","Cornus florida",25172,23894,1278
"31","Diospyros virginiana",19752,18654,1098
"32","Fagus grandifolia",49426,45918,3508
"33","Fraxinus albicans",53,49,4
"34","Fraxinus americana",7311,6898,413
"35","Fraxinus caroliniana",688,640,48
"36","Fraxinus pennsylvanica",40954,40380,574
"37","Fraxinus profunda",159,140,19
"38","Fraxinus quadrangulata",1002,957,45
"39","Gleditsia aquatica",453,413,40
"40","Gleditsia triacanthos",10308,9725,583
"41","Gordonia lasianthus",1721,1642,79
"42","Gymnocladus dioicus",2195,2036,159
"43","Ilex opaca",22553,21532,1021
"44","Juglans cinerea",2421,2200,221
"45","Juglans nigra",16023,14942,1081
"46","Juniperus virginiana",29091,26911,2180
"47","Liquidambar styraciflua",53797,51647,2150
"48","Liriodendron tulipifera",43568,40920,2648
"49","Maclura pomifera",5654,5402,252
"50","Magnolia acuminata",2345,2137,208
"51","Magnolia fraseri",1819,1785,34
"52","Magnolia grandiflora",6320,6014,306
"53","Magnolia macrophylla",1741,1667,74
"54","Magnolia virginiana",4980,4544,436
"55","Morus rubra",5531,5289,242
"56","Nyssa aquatica",738,610,128
"57","Nyssa biflora",848,780,68
"58","Nyssa ogeche",301,216,85
"59","Nyssa sylvatica",8656,8091,565
"60","Ostrya virginiana",10534,9785,749
"61","Oxydendrum arboreum",4914,4672,242
"62","Persea borbonia",857,822,35
"63","Pinus clausa",1414,1397,17
"64","Pinus echinata",2478,2379,99
"65","Pinus elliottii",2184,2041,143
"66","Pinus glabra",495,484,11
"67","Pinus palustris",5713,5627,86
"68","Pinus pungens",878,783,95
"69","Pinus rigida",10705,10150,555
"70","Pinus serotina",525,508,17
"71","Pinus taeda",5652,5310,342
"72","Pinus virginiana",4214,3916,298
"73","Planera aquatica",435,367,68
"74","Platanus occidentalis",28184,24566,3618
"75","Populus deltoides",15463,13082,2381
"76","Populus heterophylla",359,337,22
"77","Prunus americana",3255,2955,300
"78","Prunus serotina",27716,25858,1858
"79","Quercus alba",24909,23482,1427
"80","Quercus bicolor",8994,8719,275
"81","Quercus coccinea",3291,3158,133
"82","Quercus ellipsoidalis",1567,1438,129
"83","Quercus falcata",4965,4748,217
"84","Quercus ilicifolia",3094,2908,186
"85","Quercus imbricaria",1990,1860,130
"86","Quercus incana",787,772,15
"87","Quercus laevis",2439,2407,32
"88","Quercus laurifolia",1057,1015,42
"89","Quercus lyrata",1008,923,85
"90","Quercus macrocarpa",11624,10774,850
"91","Quercus margaretta",95,91,4
"92","Quercus marilandica",6560,6326,234
"93","Quercus michauxii",2375,2261,114
"94","Quercus minima",710,705,5
"95","Quercus muehlenbergii",5207,4922,285
"96","Quercus nigra",9483,8981,502
"97","Quercus pagoda",810,784,26
"98","Quercus palustris",92095,90009,2086
"99","Quercus phellos",11257,10722,535
"100","Quercus rubra",33911,32527,1384
"101","Quercus shumardii",2095,1986,109
"102","Quercus sinuata",286,272,14
"103","Quercus stellata",8883,8555,328
"104","Quercus texana",216,200,16
"105","Quercus velutina",7721,7302,419
"106","Quercus virginiana",5247,4900,347
"107","Robinia pseudoacacia",3742,3401,341
"108","Salix caroliniana",1933,1593,340
"109","Salix nigra",8547,7318,1229
"110","Sassafras albidum",38085,36187,1898
"111","Taxodium distichum",12251,10076,2175
"112","Tilia americana",27494,26298,1196
"113","Tsuga canadensis",33559,30476,3083
"114","Tsuga caroliniana",485,480,5
"115","Ulmus alata",4517,4307,210
"116","Ulmus americana",23202,22141,1061
"117","Ulmus crassifolia",9706,9266,440
"118","Ulmus rubra",3042,2805,237
"119","Ulmus thomasii",288,258,30
