"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","significant"
"R2","Abies fraseri",0.164880245053872,1,0.000704949221123506,0.001,0.00317248398788439,0.001,1009.52732015138,0.001,8.96459788710767,23.6349882859777,-0.270864068057405,1000,1000,452,1,1,0.452,"overdisper.shifter","non-significant"
"R21","Acer barbatum",0.164680046287339,0.118,-0.000122391953069233,0.231,0.00197048992006099,0.231,47.9932391708605,0.231,8.93809790817126,-1.25553622119395,-0.729992830700221,1000,93,250,1,0.093,0.25,"generalists","non-significant"
"R22","Acer leucoderme",0.139841963535852,0.994,0.000197176761603054,0.009,0.00742094664373338,0.009,245.929649707557,0.009,5.65032205852956,8.35867514938975,1.35193212913709,1000,1000,905,1,1,0.905,"overdisper.shifter","non-significant"
"R23","Acer negundo",0.0271396684808921,1,0.000273393436931109,0.001,0.132045610362299,0.001,81365191.8982133,0.001,-9.26789395629981,10.6516506282895,48.9551351561664,1,1000,1000,0.001,1,1,"shifting","significant"
"R24","Acer nigrum",0.102084674073009,1,0.000121254598456178,0.001,0.00352279910348008,0.001,1801.36346518477,0.001,0.652452227516356,6.07456005710188,-0.137053303209142,759,1000,500,0.759,1,0.5,"generalists","non-significant"
"R25","Acer pensylvanicum",0.084638009355027,1,0.000583847986828984,0.001,0.121975768979719,0.001,12105524.6726074,0.001,-1.65693386683278,19.9916627341004,45.1087319685321,37,1000,1000,0.037,1,1,"shifting","significant"
"R26","Acer rubrum",0.0347591546808983,1,0.000159788669793632,0.001,0.0449428574408647,0.001,47644931.2056528,0.001,-8.25931519578502,7.23385597625138,15.6842728098834,1,1000,1000,0.001,1,1,"shifting","significant"
"R27","Acer saccharinum",0.0189333388400259,1,0.000281060299480645,0.001,0.262352914992453,0.001,360099603.676801,0.001,-10.3541522105052,10.8823078663613,98.7289511338948,1,1000,1000,0.001,1,1,"shifting","significant"
"R28","Acer saccharum",0.0455963926269785,1,0.000390167212828593,0.001,0.119747736915831,0.001,59420482.7836914,0.001,-6.82480796942472,14.1647847758887,44.2576848361001,1,1000,1000,0.001,1,1,"shifting","significant"
"R29","Aesculus glabra",0.0849373691823026,1,0.000267942575635662,0.001,0.0226977803752996,0.001,101915.682314647,0.001,-1.61730810262557,10.4876616949551,7.18726356382147,42,1000,1000,0.042,1,1,"shifting","significant"
"R210","Ailanthus altissima",0.0484390185175976,1,0.000231858451136452,0.001,0.10671197434597,0.001,34265500.3473802,0.001,-6.44853429136943,9.40207232362498,39.2783811115453,1,1000,1000,0.001,1,1,"shifting","significant"
"R211","Annona glabra",0.0770661875749977,1,0.00107264719839166,0.001,0.0134048930647824,0.001,10437.2542214469,0.001,-2.65920336706951,34.6971665020691,3.63763551949758,1,1000,996,0.001,1,0.996,"shifting","significant"
"R212","Asimina triloba",0.0804525191942031,1,2.93181352794342e-05,0.001,0.000481961889337246,0.001,122017.458432354,0.001,-2.21096026280515,3.30865542043705,-1.29856970740886,9,999,74,0.009,0.999,0.074,"shifting","non-significant"
"R213","Betula alleghaniensis",0.0914717610610366,1,0.00015184670799622,0.001,0.0125322782673064,0.001,681800.978479862,0.001,-0.752361479089966,6.99492238885149,3.30432060309832,236,1000,994,0.236,1,0.994,"generalists","non-significant"
"R214","Betula lenta",0.0715133200597943,1,0.00098493028928237,0.001,0.185758212732235,0.001,2147057.85367859,0.001,-3.3942272372856,32.0582069724549,69.4718758993973,1,1000,1000,0.001,1,1,"shifting","significant"
"R215","Betula nigra",0.0714098393067497,0.464,-8.22478235640089e-07,0.897,9.05868148937117e-07,0.897,10.5511532100703,0.897,-3.40792481306739,2.40187632765207,-1.48231991190863,1,989,2,0.001,0.989,0.002,"shifting","non-significant"
"R216","Betula populifolia",0.0737283670810313,1,0.000511427533283072,0.001,0.0192313385165497,0.001,101938.331647026,0.001,-3.1010251340835,17.8128964282124,5.86317785991853,1,1000,1000,0.001,1,1,"shifting","significant"
"R217","Carpinus caroliniana",0.0780560220307423,0.196,-5.07804677944573e-06,0.397,2.81435201398006e-05,0.397,1483.21957943948,0.397,-2.52818062061596,2.2738477265917,-1.4719158759898,5,985,14,0.005,0.985,0.014,"shifting","non-significant"
"R218","Carya alba",0.0918891560719983,0.011,-2.72395155922169e-05,0.019,0.000477949266719402,0.019,1732.00020002151,0.019,-0.697111593238023,1.60712086733992,-1.30010241918074,259,934,72,0.259,0.934,0.072,"generalists","non-significant"
"R219","Carya aquatica",0.0698550350891734,1,0.000258449502768449,0.001,0.0262156132039782,0.001,3251.67117912784,0.001,-3.6137316705698,10.2020629961108,8.53097920855857,1,1000,1000,0.001,1,1,"shifting","significant"
