"","species","n","Intercept","Slope","Slope.p.value","R2","F.value","F.test.p.value"
"R2","Abies_fraseri",798,0.210148151246978,0.0737059415126395,0.001,0.00883125841707799,2833.37124151456,0.001
"R21","Acer_barbatum",249,0.226823268373059,-0.0314695053617262,0.271,0.000940325491760152,29.0589340890918,0.271
"R22","Acer_leucoderme",265,0.21173181487023,0.0493684724255323,0.029,0.0030983238060065,108.709988832847,0.029
"R23","Acer_nigrum",114,0.231514557860882,0.122204687613523,0.042,0.0119698630557111,78.007689577256,0.042
"R24","Acer_pensylvanicum",2075,0.23862476804605,0.0245416068908435,0.001,0.000590527853140288,1271.43270656192,0.001
"R25","Acer_saccharinum",2043,0.142524091800378,0.0350828843788569,0.001,0.0010736928759042,2242.02428904816,0.001
"R26","Acer_saccharum",1529,0.189146087211649,0.113787415131112,0.001,0.0204251923006464,24357.2720523579,0.001
"R27","Aesculus_flava",5,0.459370864881958,0.146993587072891,0.639,0.0406520235535952,0.338997106798953,0.639
"R28","Aesculus_glabra",1273,0.197516688526793,0.00561522213103793,0.493,8.15887415759331e-05,66.0617563827627,0.493
"R29","Ailanthus_altissima",6560,0.16115268627686,0.0209168944927827,0.001,0.00043948615718381,9459.0504750677,0.001
"R210","Annona_glabra",831,0.136021706509384,0.121507158153292,0.001,0.0140345851300737,4908.90355657264,0.001
"R211","Betula_alleghaniensis",384,0.242522459696335,0.0493197967044803,0.001,0.00314481360735785,231.98025847695,0.001
"R212","Betula_lenta",245,0.241912512285911,0.0275932116093496,0.168,0.000895307109077703,26.7829178128334,0.168
"R213","Carpinus_caroliniana",3024,0.156897397662295,0.074704157133453,0.001,0.00570243909399626,26214.0443386701,0.001
"R214","Carya_alba",1636,0.148441636688947,0.10227945223569,0.001,0.01228400027337,16633.2892472731,0.001
"R215","Carya_aquatica",453,0.166121104456577,0.00959600902169111,0.568,0.000117254123442767,12.0054158260831,0.568
"R216","Carya_cordiformis",968,0.178506389833225,0.0666912610702837,0.001,0.00398844110068186,1874.16914784661,0.001
"R217","Carya_glabra",1762,0.149126225382646,0.109817173893657,0.001,0.0137272550891889,21593.417255226,0.001
"R218","Carya_illinoinensis",5990,0.137170568471495,0.0128314908341272,0.014,0.000251281023054384,4508.37389722532,0.014
"R219","Carya_ovata",1411,0.171771700755656,0.0767874549113188,0.001,0.00535055678258634,5351.11384965074,0.001
"R220","Carya_texana",725,0.167534003071791,0.0630303417609914,0.001,0.00844733206636783,2235.87256416166,0.001
"R221","Castanea_dentata",1530,0.194624381777127,0.0292161702671057,0.001,0.00117423923930771,1375.10237531837,0.001
"R222","Celtis_occidentalis",1549,0.167722712090107,-0.00524679598732058,0.687,2.10673042080334e-05,25.2586287615444,0.687
"R223","Chamaecyparis_thyoides",378,0.218970939601478,-0.00497664191482849,0.618,7.75925984313197e-05,5.52897923869609,0.618
"R224","Fraxinus_albicans",53,0.282995502862774,-0.00314030156425504,0.976,8.09958561887036e-06,0.0111451200823886,0.976
"R225","Fraxinus_americana",1434,0.159805849797293,0.127980848090306,0.001,0.0142843158950045,14889.2314100605,0.001
"R226","Fraxinus_caroliniana",558,0.1593512474354,0.0249943304416815,0.039,0.00117688965218132,183.105323599227,0.039
"R227","Fraxinus_pennsylvanica",2090,0.141441614169492,0.0519850141091118,0.001,0.00376034242277501,8239.82334723381,0.001
"R228","Fraxinus_profunda",139,0.185786739052531,0.0225369666072783,0.483,0.000996944486370777,9.56924068154587,0.483
"R229","Fraxinus_quadrangulata",425,0.234529797133244,-0.0447072940733051,0.005,0.00308972981782774,279.241257165272,0.005
"R230","Gleditsia_aquatica",397,0.159690577681449,0.0157052451225734,0.237,0.000468128299148218,36.8139904969998,0.237
"R231","Gleditsia_triacanthos",6613,0.139262215644854,0.0614484324118085,0.001,0.00628116535265566,138190.451969982,0.001
"R232","Gordonia_lasianthus",1304,0.129040546639384,0.0817653854674396,0.001,0.0107589337549437,9239.70457670351,0.001
"R233","Gymnocladus_dioicus",828,0.203637795548848,-0.0432583588913924,0.019,0.0020249850006957,694.71304810039,0.019
"R234","Ilex_opaca",10932,0.146936122202345,0.044130263717344,0.001,0.00219987667511201,131729.87776602,0.001
"R235","Juglans_cinerea",265,0.213283515336352,0.0704814889577285,0.031,0.00472525841967475,166.064788041286,0.031
"R236","Juglans_nigra",4730,0.156259790374328,0.00624113356850353,0.244,5.05024862985648e-05,564.852524926681,0.244
"R237","Maclura_pomifera",5661,0.14965025726681,0.0231931508190608,0.001,0.000642455840434764,10299.1627833136,0.001
"R238","Magnolia_acuminata",937,0.203446818412406,0.0236824795579538,0.009,0.000844126008306856,370.473798975802,0.009
"R239","Magnolia_fraseri",1741,0.212767176805975,0.00528722487182254,0.419,3.32581691866451e-05,50.3767600443826,0.419
"R240","Magnolia_grandiflora",5434,0.152298198144493,0.00500766837446953,0.283,3.10061482859947e-05,457.71017850073,0.283
"R241","Magnolia_macrophylla",1729,0.210773915953929,0.0539621272074151,0.001,0.00322496246331194,4833.20999648439,0.001
"R242","Magnolia_virginiana",2997,0.157434981094613,0.00904411844719988,0.066,0.000170188475072885,764.191896246957,0.066
"R243","Morus_rubra",4303,0.157705861175001,0.023832062689876,0.001,0.000669171500589871,6197.83219842865,0.001
"R244","Nyssa_aquatica",696,0.171811584808676,-0.0262042268355935,0.009,0.00170876396294084,413.985638288818,0.009
"R245","Nyssa_biflora",721,0.153091546180771,0.00934001201594326,0.478,0.000141965604512628,36.8535403112097,0.478
"R246","Nyssa_ogeche",261,0.177487879883387,0.0162060989375021,0.115,0.000791436709556947,26.8731330658566,0.115
"R247","Nyssa_sylvatica",3031,0.155238614755818,0.0954165456496794,0.001,0.0100286429877152,46517.6666108594,0.001
"R248","Ostrya_virginiana",2150,0.161209731304519,0.0744678620325883,0.001,0.00579543689635675,13466.5061276443,0.001
"R249","Oxydendrum_arboreum",4535,0.163472052833643,0.0784481622117679,0.001,0.00753637482001468,78068.6408528809,0.001
"R250","Paulownia_tomentosa",3900,0.169343998453326,0.0674890303138111,0.001,0.00383448480495641,29265.9920290916,0.001
"R251","Persea_borbonia",603,0.169591093150672,0.00956321668295201,0.642,9.19394238356741e-05,16.68863170878,0.642
"R252","Pinus_clausa",798,0.173443578012282,0.0190798046032201,0.17,0.000536276242048106,170.627884928441,0.17
"R253","Pinus_echinata",2185,0.160694557138737,0.020571427636638,0.01,0.000558967602463878,1334.45267670891,0.01
"R254","Pinus_elliottii",1320,0.135583548419416,0.0357874800158351,0.001,0.003268362635512,2854.56362107317,0.001
"R255","Pinus_glabra",482,0.189154741093551,-0.0214702114264624,0.152,0.000598196736016576,69.3838726484543,0.152
"R256","Pinus_palustris",4737,0.136181565134115,0.0339724685007741,0.001,0.00229159445861926,25764.3468780818,0.001
"R257","Pinus_pungens",486,0.256537043519574,-0.0450214966982796,0.003,0.00227902195079999,269.203093727462,0.003
"R258","Pinus_rigida",306,0.242297892280074,0.0285050528842627,0.083,0.0009347509753862,43.6590951462167,0.083
"R259","Pinus_serotina",339,0.14241769558657,0.0644441511982401,0.001,0.00777842079074842,449.11132555323,0.001
