"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","significant"
"R250","Magnolia acuminata",0.203005553442272,1,0.000483366488414226,0.001,0.0352922578962762,0.001,83494.7318994579,0.001,-10.7052751990182,3.8736889009335,-6.10197399388403,1,1000,1,0.001,1,0.001,"shifting","non-significant"
"R251","Magnolia fraseri",0.181105922208422,1,0.00167985219801785,0.001,0.0350855932692352,0.001,57895.2006046093,0.001,-19.0862513683164,86.7670074434328,-6.16563299572526,1,1000,1,0.001,1,0.001,"shifting","non-significant"
"R252","Magnolia grandiflora",0.154860901816649,1,0.00148095880148701,0.001,0.175389682851752,0.001,3845739.49582803,0.001,-29.1302054476074,72.9875418448905,37.0523014178624,1,1000,1000,0.001,1,1,"shifting","significant"
"R253","Magnolia macrophylla",0.204808294116366,1,0.000900952008128568,0.001,0.0383937484869051,0.001,55442.552093191,0.001,-10.0153673888057,32.8042889294817,-5.14662039493333,1,1000,1,0.001,1,0.001,"shifting","non-significant"
"R254","Magnolia virginiana",0.209377022472504,1,0.000346089472777215,0.001,0.0242278362259593,0.001,256281.456973777,0.001,-8.26691769721436,-5.63695321908998,-9.51015298207241,1,1,1,0.001,0.001,0.001,"specialists","non-significant"
"R255","Morus rubra",0.24563506194188,1,0.000421002311672823,0.001,0.0457618240031095,0.001,670627.710989321,0.001,5.60901297455945,-0.446942366763328,-2.8770286434655,1000,319,3,1,0.319,0.003,"generalists","non-significant"
"R256","Nyssa aquatica",0.236342393965525,1,0.000742368073937096,0.001,0.0646063289601619,0.001,12829.008503668,0.001,2.05271433065117,21.817489449017,2.92765304267619,986,1000,999,0.986,1,0.999,"overdisper.shifter","significant"
"R257","Nyssa biflora",0.176130298486985,1,0.00136530866002086,0.001,0.119963666424716,0.001,41414.110052812,0.001,-20.9904196801692,64.9752238212891,19.9793996237827,1,1000,1000,0.001,1,1,"shifting","significant"
"R258","Nyssa ogeche",0.236446199570078,1,0.00244172837542475,0.001,0.0236135679869479,0.001,561.519295583193,0.001,2.09244067529635,139.550291152399,-9.69936631537536,986,1000,1,0.986,1,0.001,"overdisper.shifter","non-significant"
"R259","Nyssa sylvatica",0.220500623378596,1,0.000267530109243431,0.001,0.0220052213668018,0.001,736393.431859402,0.001,-4.00992208321325,-11.0795977017051,-10.1947860779113,1,1,1,0.001,0.001,0.001,"specialists","non-significant"
