"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value"
"R2","Abies fraseri",0.164880245053872,1,0.000704949221123506,0.001,0.00317248398788439,0.001,1009.52732015138,0.001
"R21","Acer barbatum",0.164680046287339,0.118,-0.000122391953069233,0.231,0.00197048992006099,0.231,47.9932391708605,0.231
"R22","Acer leucoderme",0.139841963535852,0.994,0.000197176761603054,0.009,0.00742094664373338,0.009,245.929649707557,0.009
"R23","Acer negundo",0.0271396684808921,1,0.000273393436931109,0.001,0.132045610362299,0.001,81365191.8982133,0.001
"R24","Acer nigrum",0.102084674073009,1,0.000121254598456178,0.001,0.00352279910348008,0.001,1801.36346518477,0.001
"R25","Acer pensylvanicum",0.084638009355027,1,0.000583847986828984,0.001,0.121975768979719,0.001,12105524.6726074,0.001
"R26","Acer rubrum",0.0347591546808983,1,0.000159788669793632,0.001,0.0449428574408647,0.001,47644931.2056528,0.001
"R27","Acer saccharinum",0.0189333388400259,1,0.000281060299480645,0.001,0.262352914992453,0.001,360099603.676801,0.001
"R28","Acer saccharum",0.0455963926269785,1,0.000390167212828593,0.001,0.119747736915831,0.001,59420482.7836914,0.001
"R29","Aesculus glabra",0.0849373691823026,1,0.000267942575635662,0.001,0.0226977803752996,0.001,101915.682314647,0.001
"R210","Ailanthus altissima",0.0484390185175976,1,0.000231858451136452,0.001,0.10671197434597,0.001,34265500.3473802,0.001
"R211","Annona glabra",0.0770661875749977,1,0.00107264719839166,0.001,0.0134048930647824,0.001,10437.2542214469,0.001
"R212","Asimina triloba",0.0804525191942031,1,2.93181352794342e-05,0.001,0.000481961889337246,0.001,122017.458432354,0.001
"R213","Betula alleghaniensis",0.0914717610610366,1,0.00015184670799622,0.001,0.0125322782673064,0.001,681800.978479862,0.001
"R214","Betula lenta",0.0715133200597943,1,0.00098493028928237,0.001,0.185758212732235,0.001,2147057.85367859,0.001
"R215","Betula nigra",0.0714098393067497,0.464,-8.22478235640089e-07,0.897,9.05868148937117e-07,0.897,10.5511532100703,0.897
"R216","Betula populifolia",0.0737283670810313,1,0.000511427533283072,0.001,0.0192313385165497,0.001,101938.331647026,0.001
"R217","Carpinus caroliniana",0.0780560220307423,0.196,-5.07804677944573e-06,0.397,2.81435201398006e-05,0.397,1483.21957943948,0.397
"R218","Carya alba",0.0918891560719983,0.011,-2.72395155922169e-05,0.019,0.000477949266719402,0.019,1732.00020002151,0.019
"R219","Carya aquatica",0.0698550350891734,1,0.000258449502768449,0.001,0.0262156132039782,0.001,3251.67117912784,0.001
"R220","Carya cordiformis",0.0887424318545741,1,2.8142310217811e-05,0.001,0.000591182436976645,0.001,6941.38595622254,0.001
"R221","Carya glabra",0.0917393614886991,0.001,-6.67375455765317e-05,0.001,0.00284690344926308,0.001,19940.827252997,0.001
"R222","Carya illinoinensis",0.0614677732620513,1,0.000188597814123767,0.001,0.0107151673108619,0.001,178400.338763323,0.001
"R223","Carya ovata",0.0805534384946927,1,6.24799394690307e-05,0.001,0.00288213005287097,0.001,86055.3288956249,0.001
"R224","Carya texana",0.099770305208183,1,0.000184294490501856,0.001,0.00561861494524096,0.001,1378.40019722525,0.001
"R225","Castanea dentata",0.0714965654372908,1,0.000813620016606669,0.001,0.18850365187882,0.001,7908042.29994037,0.001
"R226","Celtis laevigata",0.0415273979856873,1,8.25549911122623e-05,0.001,0.0149439230145348,0.001,891728.233416035,0.001
"R227","Celtis occidentalis",0.04826554909319,1,0.000239663270550359,0.001,0.0834529716771101,0.001,5876630.54443737,0.001
"R228","Cercis canadensis",0.0612443824313754,0.001,-2.42607088715801e-05,0.001,0.00122833282561929,0.001,793113.442594734,0.001
"R229","Chamaecyparis thyoides",0.0802968570008384,0.974,3.70015795614838e-05,0.044,0.00101465011276813,0.044,1838.12911414517,0.044
"R230","Cornus florida",0.0715484788321059,1,1.78451591158607e-05,0.001,0.000314709204435881,0.001,89861.9186103825,0.001
"R231","Diospyros virginiana",0.0583702950104661,0.001,-4.42967632412762e-05,0.001,0.00311508202880939,0.001,543644.656622439,0.001
"R232","Fagus grandifolia",0.084192434583543,1,1.91868411212343e-05,0.001,0.000271019426847707,0.001,274475.459385894,0.001
"R233","Fraxinus albicans",0.202622089800681,0.995,0.00338261900636258,0.006,0.0681916870317587,0.006,85.9157827431974,0.006
"R234","Fraxinus americana",0.0845645965941942,0.979,1.67314944211202e-05,0.035,0.000297008009923827,0.035,7067.25161541144,0.035
"R235","Fraxinus caroliniana",0.059899632128744,1,0.000190179595084858,0.001,0.0136635211066946,0.001,2832.59265842981,0.001
"R236","Fraxinus pennsylvanica",0.0193554651768054,1,0.000283436214465439,0.001,0.293728380664494,0.001,339051783.460612,0.001
"R237","Fraxinus profunda",0.101832238309724,0.998,0.0003196123683416,0.004,0.0197301803327641,0.004,195.798330649702,0.004
"R238","Fraxinus quadrangulata",0.106087763093916,1,0.000585120643043644,0.001,0.0323936042381476,0.001,15314.3467860688,0.001
"R239","Gleditsia aquatica",0.0615283741818752,1,0.000483463951837082,0.001,0.0819117247958988,0.001,7590.47042310465,0.001
"R240","Gleditsia triacanthos",0.0579964373488371,1,0.00012519235837817,0.001,0.0189587396737729,0.001,913748.624438542,0.001
"R241","Gordonia lasianthus",0.0519498668244631,1,0.00025318167750726,0.001,0.0172899089488476,0.001,23703.8223710506,0.001
