"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value"
"R242","Gymnocladus dioicus",0.0867707727397429,1,0.000223317929521726,0.001,0.0128093373070901,0.001,26880.5032600548,0.001
"R243","Ilex opaca",0.0632926858260734,0.002,-1.13421653232072e-05,0.004,0.000148148321977515,0.004,34346.2758965289,0.004
"R244","Juglans cinerea",0.0913782299980148,1,8.09748148797308e-05,0.001,0.00369040787216657,0.001,8959.78548405122,0.001
"R245","Juglans nigra",0.0715006379142231,1,3.97411449640877e-05,0.001,0.00204738278799765,0.001,229006.347885462,0.001
"R246","Juniperus virginiana",0.0577511454302958,1,1.61098849996073e-05,0.001,0.000489310875949056,0.001,177260.088552352,0.001
"R247","Liquidambar styraciflua",0.0402303344884295,1,6.37767090857783e-05,0.001,0.00976029703750325,0.001,9979483.85093419,0.001
"R248","Liriodendron tulipifera",0.074425696370329,0.999,1.03024697930617e-05,0.005,5.62330557424273e-05,0.005,47081.1157486373,0.005
"R249","Maclura pomifera",0.0511708853303403,1,0.000444946344593408,0.001,0.0232423516367024,0.001,347129.840485175,0.001
"R250","Magnolia acuminata",0.128853970142871,1,0.000159654089537859,0.001,0.00688976217362325,0.001,15833.6910310655,0.001
"R251","Magnolia fraseri",0.16852967029714,0.778,5.05460362703579e-05,0.489,8.02119471324803e-05,0.489,127.725151122442,0.489
"R252","Magnolia grandiflora",0.0809235347963175,0.001,-7.46628852388602e-05,0.001,0.0019840329259414,0.001,35944.7915628537,0.001
"R253","Magnolia macrophylla",0.12950702927552,1,0.000490218716312919,0.001,0.0261469852846206,0.001,37282.7711579279,0.001
"R254","Magnolia virginiana",0.0642579803513651,0.004,-1.62080003228687e-05,0.012,0.000254796132466262,0.012,2630.59797789077,0.012
"R255","Morus rubra",0.0788580068158044,0.987,1.34302370617063e-05,0.022,0.000191811188085977,0.022,2682.82411635109,0.022
"R256","Nyssa aquatica",0.091077213651351,0.75,2.60369787188695e-05,0.484,0.00017488408894617,0.484,32.4891771732726,0.484
"R257","Nyssa biflora",0.0597147104841694,0.999,0.000158535455202053,0.002,0.00637201350672167,0.002,1948.2831660994,0.002
"R258","Nyssa ogeche",0.123048117932219,1,0.00111210218051954,0.001,0.0209849646948274,0.001,497.672551201039,0.001
"R259","Nyssa sylvatica",0.0844812952424011,0.861,9.43381543831161e-06,0.263,6.2325189395418e-05,0.263,2039.91173265944,0.263
"R260","Ostrya virginiana",0.073847767689649,1,7.56343406005021e-05,0.001,0.00715346827585528,0.001,344890.945320705,0.001
"R261","Oxydendrum arboreum",0.121944440330484,0.001,-0.000167780690954744,0.001,0.00386368703593387,0.001,42321.9621795972,0.001
"R262","Paulownia tomentosa",0.0837567684104935,1,0.000227111549504707,0.001,0.0248480589564734,0.001,978911.764225075,0.001
"R263","Persea borbonia",0.0712690487088381,1,0.000115045640950904,0.001,0.00903537609505023,0.001,3076.59612344459,0.001
"R264","Pinus clausa",0.081538249835345,1,0.000311227877271241,0.001,0.0111675429597147,0.001,11012.4983587042,0.001
"R265","Pinus echinata",0.104577786599652,0.001,-5.04858062777147e-05,0.001,0.00119182425123054,0.001,3375.25134634256,0.001
"R266","Pinus elliottii",0.0480067411903098,1,0.00048183206702958,0.001,0.0377536783400105,0.001,81680.0078787063,0.001
"R267","Pinus glabra",0.117062707973914,0.012,-0.00011051162163326,0.032,0.00140740189633903,0.032,164.73461105569,0.032
"R268","Pinus palustris",0.0585711648492393,0.78,9.22652437456059e-06,0.43,3.32164799059509e-05,0.43,525.792788079682,0.43
"R269","Pinus pungens",0.173766089671678,1,0.000417032689416308,0.001,0.0120219546770213,0.001,3725.31906326072,0.001
"R270","Pinus rigida",0.0472079251978695,1,0.00106601653957611,0.001,0.188965767337,0.001,12000607.5102153,0.001
"R271","Pinus serotina",0.0715949373141566,0.997,0.000144954473420148,0.004,0.00338791639009184,0.004,437.76543373845,0.004
"R272","Pinus taeda",0.0739125287698202,0.001,-4.1522521456172e-05,0.001,0.00245846933725402,0.001,34738.4950118541,0.001
"R273","Pinus virginiana",0.0914256916834317,1,0.000298787585876348,0.001,0.0123555417821781,0.001,95897.1064132062,0.001
"R274","Planera aquatica",0.117826115892363,0.997,0.000235818238934433,0.005,0.00714109771051863,0.005,483.038405592992,0.005
"R275","Platanus occidentalis",0.0745981632861238,0.001,-8.96399282923909e-06,0.001,0.000132580375118319,0.001,40009.031971584,0.001
"R276","Populus deltoides",0.0413086525360003,1,0.000147886385837529,0.001,0.0385437162534757,0.001,3430118.53282864,0.001
"R277","Populus heterophylla",0.0426525369698043,1,0.00039924418485535,0.001,0.0611990913183807,0.001,3690.58585676531,0.001
"R278","Prunus americana",0.0858096775218108,1,0.000329937182730926,0.001,0.0898942730233561,0.001,431099.936514866,0.001
"R279","Prunus serotina",0.0460683613603999,1,0.000107871052236112,0.001,0.0232135214919885,0.001,7944827.2251624,0.001
"R280","Quercus alba",0.0630149292566165,1,7.83959993260592e-05,0.001,0.00704539819876404,0.001,1956130.49973852,0.001
"R281","Quercus bicolor",0.0285739834481853,1,0.000466048760203761,0.001,0.277320201497269,0.001,14584418.4395994,0.001
"R282","Quercus coccinea",0.0504646183277762,1,0.000684468657555871,0.001,0.161933661544077,0.001,963197.344081355,0.001
"R283","Quercus ellipsoidalis",0.0748797014634325,1,0.000540517080797385,0.001,0.0352520242200691,0.001,37753.3071751248,0.001
"R284","Quercus falcata",0.0741751549150004,0.001,-4.92070618160898e-05,0.001,0.00269140873522733,0.001,30412.3490689043,0.001
"R285","Quercus ilicifolia",0.080619838576168,1,0.00128236304543799,0.001,0.104297256998332,0.001,492173.487455271,0.001
"R286","Quercus imbricaria",0.0712449839234066,1,0.000242791879268341,0.001,0.0277745466614842,0.001,49390.3186474458,0.001
"R287","Quercus incana",0.0866859860482617,1,0.000293177264141285,0.001,0.0326686947603961,0.001,10050.6767255555,0.001
"R288","Quercus laevis",0.0627933525374184,1,0.000494832017164241,0.001,0.0464228270555499,0.001,140966.902176039,0.001
"R289","Quercus laurifolia",0.0540351346246724,1,0.000216157969864066,0.001,0.0182479653812868,0.001,9564.99950901892,0.001
"R290","Quercus lyrata",0.0640033290968592,0.755,1.56686827857991e-05,0.495,0.000156502761302746,0.495,66.6025049130252,0.495
"R291","Quercus macrocarpa",0.0405184074258774,1,0.000107182534529246,0.001,0.0172152098352064,0.001,1016570.52758734,0.001
"R292","Quercus margaretta",0.107036682185351,0.996,0.000479215423931372,0.005,0.0407122546090345,0.005,173.70727283383,0.005
"R293","Quercus marilandica",0.0729360640294923,1,3.26215096909963e-05,0.001,0.00136572363611887,0.001,27359.9963834005,0.001
"R294","Quercus michauxii",0.0452782159804932,0.991,2.74098725330027e-05,0.012,0.000654122649362154,0.012,1672.33018133849,0.012
"R295","Quercus minima",0.0721738668021599,1,0.000823019013401894,0.001,0.0519306602898381,0.001,13592.8969078837,0.001
"R296","Quercus muehlenbergii",0.0614997884930708,1,0.000183315692163204,0.001,0.0243801402736071,0.001,302635.921020923,0.001
"R297","Quercus nigra",0.0685473279748551,0.001,-5.43666979365566e-05,0.001,0.00337043213272981,0.001,136371.254234758,0.001
"R298","Quercus pagoda",0.0883357965717758,0.103,-2.8830863806327e-05,0.196,0.000402889611887725,0.196,123.710361754783,0.196
"R299","Quercus palustris",0.0284272053116847,1,0.000553713654005431,0.001,0.143365482456694,0.001,169447205.318783,0.001
"R2100","Quercus phellos",0.050462395276628,1,9.65787942755341e-05,0.001,0.0207478303095833,0.001,1217753.06973785,0.001
"R2101","Quercus rubra",0.0368934141025311,1,0.000336258896791027,0.001,0.125594446237611,0.001,75980508.9099146,0.001
"R2102","Quercus shumardii",0.0671227864252649,1,9.65529036164707e-05,0.001,0.00741205036426984,0.001,14719.0127731503,0.001
"R2103","Quercus sinuata",0.15271827539887,0.251,-3.65492412429635e-05,0.478,0.000306030366350352,0.478,11.2818957241592,0.478
"R2104","Quercus stellata",0.0590930000573362,1,6.12879211133133e-05,0.001,0.00765178154077395,0.001,282135.482629228,0.001
"R2105","Quercus texana",0.0574183408448723,1,0.00127370522164631,0.001,0.10260079288643,0.001,2274.96365126142,0.001
"R2106","Quercus velutina",0.0647946432119133,1,9.19884472510283e-05,0.001,0.00856512025474099,0.001,230283.817276941,0.001
"R2107","Quercus virginiana",0.0326709214629154,1,0.000165755628950462,0.001,0.0393124529069167,0.001,491158.238118899,0.001
"R2108","Robinia pseudoacacia",0.111809624124672,0.281,-1.33626689232414e-05,0.53,4.93987189511547e-05,0.53,285.622583951935,0.53
"R2109","Salix caroliniana",0.00833223750670544,1,0.00078532568443749,0.001,0.437879182739494,0.001,987763.07783512,0.001
"R2110","Salix nigra",0.0503084625882871,1,6.75164691396e-05,0.001,0.0139037120153839,0.001,377491.234736489,0.001
"R2111","Sassafras albidum",0.0816648790312648,0.001,-3.50207164919829e-05,0.001,0.000905250414376613,0.001,593232.885513091,0.001
"R2112","Taxodium distichum",0.0340458314439279,1,0.0002694825786933,0.001,0.0712810530029151,0.001,3895767.2450859,0.001
"R2113","Tilia americana",0.0336013232716967,1,0.000400102948324932,0.001,0.168474225031474,0.001,70057829.9528881,0.001
"R2114","Triadica sebifera",0.063723429018499,1,8.38030440963408e-05,0.001,0.00632528792661224,0.001,539835.553699374,0.001
"R2115","Tsuga canadensis",0.0788915693655191,1,0.000217817049497666,0.001,0.0273983960278961,0.001,13081629.3267497,0.001
"R2116","Tsuga caroliniana",0.200645122321869,0.901,0.000299920311855104,0.199,0.000954044850215441,0.199,109.779822765636,0.199
"R2117","Ulmus alata",0.0867549462631601,0.001,-5.86710317602357e-05,0.001,0.00173310698201701,0.001,16098.9485180072,0.001
"R2118","Ulmus americana",0.0356095194544612,1,0.000134631124601134,0.001,0.0739196478358516,0.001,19563928.5559642,0.001
"R2119","Ulmus crassifolia",0.064326745747782,1,0.000427343729328626,0.001,0.0249439781114035,0.001,1098104.95581141,0.001
"R2120","Ulmus rubra",0.0931837997019645,0.001,-3.16438950713121e-05,0.001,0.000868824849160177,0.001,3419.71868898009,0.001
"R2121","Ulmus thomasii",0.118350729971637,1,0.000525752977739345,0.001,0.0491631494865489,0.001,1714.07699201865,0.001
