"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value"
"R2","Abies fraseri",0.125950457703436,1,0.000898034158691559,0.001,0.157657800331013,0.001,59369.7964032325,0.001
"R21","Acer barbatum",0.27477902256299,1,5.36107350797622e-05,0.001,0.0256460232535709,0.001,639.812171064849,0.001
"R22","Acer leucoderme",0.275027476747925,1,4.38649875002362e-05,0.001,0.0179971756670061,0.001,602.848669801538,0.001
"R23","Acer negundo",0.226719966925199,1,2.56403508195517e-05,0.001,0.0343639155130709,0.001,19032715.0172592,0.001
"R24","Acer nigrum",0.231746500746054,1,6.09595656125201e-05,0.001,0.0426888145128772,0.001,22721.7512373124,0.001
"R25","Acer pensylvanicum",0.182049672900035,1,5.50457085804118e-05,0.001,0.0539309797162768,0.001,4967433.27557651,0.001
"R26","Aesculus glabra",0.224345642470151,1,5.86587047170736e-05,0.001,0.0532485315928293,0.001,246807.390726636,0.001
"R27","Ailanthus altissima",0.214619642767892,1,4.32350478869169e-05,0.001,0.0864560136292802,0.001,27145708.3563624,0.001
"R28","Annona glabra",0.178193101244833,1,0.000240944007092377,0.001,0.0101991013415242,0.001,7915.45580626185,0.001
"R29","Asimina triloba",0.217412090524999,1,3.6861084439307e-05,0.001,0.0229819827188527,0.001,5952300.29910997,0.001
"R210","Betula alleghaniensis",0.173143171839329,1,5.48249693279159e-05,0.001,0.0681376817234733,0.001,3928132.25865635,0.001
"R211","Betula lenta",0.193989601693277,1,6.26633264877806e-05,0.001,0.0310469705735259,0.001,301554.362046731,0.001
"R212","Betula nigra",0.228384682075558,1,2.39756955058768e-05,0.001,0.0189619354683273,0.001,225128.953184516,0.001
"R213","Betula populifolia",0.183114835162906,1,0.000149824903204142,0.001,0.0580864952144121,0.001,320596.471930736,0.001
"R214","Carpinus caroliniana",0.218293766621873,1,3.57105727412658e-05,0.001,0.0404129281300877,0.001,2219477.46595398,0.001
"R215","Carya alba",0.228552834486099,1,3.05180991437442e-05,0.001,0.0270362991074216,0.001,100648.920742232,0.001
"R216","Carya aquatica",0.222251108073019,1,0.000129448058665668,0.001,0.182060734231628,0.001,26884.665700424,0.001
"R217","Carya glabra",0.216379286961139,1,6.50483745752592e-05,0.001,0.0945104554001122,0.001,729001.951117449,0.001
"R218","Carya illinoinensis",0.24230782658208,1,8.44518286493522e-05,0.001,0.0390804973077225,0.001,669870.947104531,0.001
"R219","Carya ovata",0.2224899056874,1,5.04545936867728e-05,0.001,0.0594293212689312,0.001,1881135.28076461,0.001
"R220","Carya texana",0.227811671560971,1,0.000137307590318025,0.001,0.128730657759678,0.001,36043.6362297178,0.001
"R221","Castanea dentata",0.184701340035601,1,4.69901327575552e-05,0.001,0.0333215442868637,0.001,1173488.57636895,0.001
"R222","Celtis laevigata",0.207624920861064,1,9.30400972161805e-05,0.001,0.167777186894945,0.001,11850103.4584094,0.001
"R223","Celtis occidentalis",0.190031218073121,1,6.79547808061401e-05,0.001,0.116011678711604,0.001,8470255.66877519,0.001
"R224","Chamaecyparis thyoides",0.210724514923719,1,1.16258048818676e-05,0.001,0.00343848494757715,0.001,6244.2724090498,0.001
"R225","Cornus florida",0.222273194069803,1,3.80357116358991e-05,0.001,0.0384649690402545,0.001,11419045.9287547,0.001
"R226","Diospyros virginiana",0.234945422236315,1,4.46632251999996e-05,0.001,0.0484831343524129,0.001,8864716.67943878,0.001
"R227","Fraxinus albicans",0.29324037554674,1,0.000434546763703006,0.001,0.0946311762376856,0.001,122.709108141556,0.001
"R228","Fraxinus americana",0.199633518048989,1,6.17237800613712e-05,0.001,0.128201500951833,0.001,3498085.14903164,0.001
"R229","Fraxinus caroliniana",0.149332209429838,1,0.000193808553274052,0.001,0.250234728122037,0.001,68244.6875790565,0.001
"R230","Fraxinus profunda",0.224096475935509,1,0.000135367002403581,0.001,0.203390044315689,0.001,2483.74795843891,0.001
"R231","Fraxinus quadrangulata",0.229491568084573,1,8.25230356980172e-05,0.001,0.0378211753907463,0.001,17981.1375109721,0.001
"R232","Gleditsia aquatica",0.142977821100404,1,0.000253373654479663,0.001,0.51059295182848,0.001,88758.8483493515,0.001
"R233","Gleditsia triacanthos",0.228241057060734,1,4.29841132681002e-05,0.001,0.0526049087686291,0.001,2625425.43113556,0.001
"R234","Gordonia lasianthus",0.0490695949435954,1,0.00019219386496163,0.001,0.174648222115514,0.001,285086.184320374,0.001
"R235","Gymnocladus dioicus",0.238549898288051,1,4.44736976228219e-05,0.001,0.0206168090894938,0.001,43609.4466158269,0.001
"R236","Ilex opaca",0.224195682246699,1,1.91217926097283e-05,0.001,0.0105681180019712,0.001,2475884.18803106,0.001
"R237","Juglans cinerea",0.217457435264674,1,4.8445931184951e-05,0.001,0.0536861323101118,0.001,137228.548060569,0.001
"R238","Juglans nigra",0.215900555279668,1,4.55275859895267e-05,0.001,0.0624663870768752,0.001,7437345.12600966,0.001
