"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","sig.diff.null","point.color","point.shape","GlobalFlag","quadrant"
"R2","Abies fraseri",0.125950458,1,0.008980342,0.001,0.1576578,0.001,59369.7964,0.001,-24.50515629,202.7536459,9.779072261,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q3"
"R21","Acer barbatum",0.274779023,1,0.000536107,0.001,0.025646023,0.001,639.8121711,0.001,6.95633481,1.729785158,-3.39642034,1000,956,1,1,0.956,0.001,"","not.sig","black",1,"Other","Q4"
"R22","Acer leucoderme",0.275027477,1,0.00043865,0.001,0.017997176,0.001,602.8486698,0.001,7.008856576,-0.590292364,-4.159816887,1000,276,1,1,0.276,0.001,"","not.sig","black",1,"Other","Q4"
"R23","Acer negundo",0.226719967,1,0.000256404,0.001,0.034363916,0.001,19032715.02,0.001,-3.203069418,-4.928858449,-2.526327326,1,1,2,0.001,0.001,0.002,"","not.sig","black",1,"Other","Q1"
"R24","Acer nigrum",0.231746501,1,0.000609596,0.001,0.042688815,0.001,22721.75124,0.001,-2.140489468,3.479251415,-1.695457175,20,998,34,0.02,0.998,0.034,"","not.sig","black",1,"Other","Q3"
"R25","Acer pensylvanicum",0.182049673,1,0.000550457,0.001,0.05393098,0.001,4967433.276,0.001,-12.64610919,2.071395664,-0.573428007,1,976,296,0.001,0.976,0.296,"","not.sig","black",1,"Other","Q2"
"R26","Acer rubrum",0.112563332,1,0.00107153,0.001,0.264249498,0.001,363637767.5,0.001,-27.33511654,14.47607658,20.41750278,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R27","Acer saccharinum",0.061047198,1,0.001767523,0.001,0.439524093,0.001,793982843.6,0.001,-38.2253271,31.04491603,37.91085973,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R28","Acer saccharum",0.119085944,1,0.001360383,0.001,0.272917193,0.001,163954383.4,0.001,-25.95627441,21.3525319,21.28258586,1,1000,1000,0.001,1,1,"Shifting","sig","black",16,"Other","Q2"
"R29","Aesculus glabra",0.224345642,1,0.000586587,0.001,0.053248532,0.001,246807.3907,0.001,-3.704987768,2.931507324,-0.641540037,1,994,274,0.001,0.994,0.274,"","not.sig","black",1,"Other","Q3"
"R210","Ailanthus altissima",0.214619643,1,0.00043235,0.001,0.086456014,0.001,27145708.36,0.001,-5.761007413,-0.740256102,2.672747093,1,228,990,0.001,0.228,0.99,"","not.sig","black",1,"Other","Q2"
"R211","Annona glabra",0.178193101,1,0.00240944,0.001,0.010199101,0.001,7915.455806,0.001,-13.46136596,46.32643719,-4.938107073,1,1000,1,0.001,1,0.001,"","not.sig","black",1,"Other","Q3"
