"","species","n","full_r2","full_constrained_var","full_unconstrained_var","geo_cor","lat_r2","lat_constrained_var","lat_unconstrained_var","long_r2","long_constrained_var","long_unconstrained_var","full_anova_p_value","full_anova_lat_p_value","full_anova_long_p_value","lat_anova_p_value","long_anova_p_value"
"1","Abies_fraseri",798,0.135192932246329,0.137363087999789,0.862636912000211,0.817784722162743,0.0545599312429068,0.0557461797607952,0.944253820239205,0.0457930527979512,0.0469903011633238,0.953009698836676,0.001,0.001,0.001,0.001,0.001
"2","Acer_barbatum",249,0.648269378643583,0.651105915912586,0.348894084087415,0.483520275743766,0.500675765640256,0.502689169811061,0.497310830188941,0.328843619956556,0.331549895682538,0.668450104317463,0.001,0.001,0.001,0.001,0.001
"3","Acer_leucoderme",265,0.543067826332612,0.54652943370888,0.45347056629112,0.528655930474904,0.461337768916151,0.463378156155105,0.536621843844895,0.245851389838212,0.248708013361552,0.751291986638448,0.001,0.001,0.001,0.001,0.001
"4","Acer_negundo",13489,0.576396716275335,0.576459528150146,0.423540471849842,0.434479387123546,0.38299189649542,0.383037641461575,0.616962358538422,0.192915133221107,0.192974970473982,0.807025029526018,0.001,0.001,0.001,0.001,0.001
"5","Acer_nigrum",114,0.48704890141674,0.496127681922639,0.503872318077362,-0.197314616140007,0.295410552528438,0.301645857373319,0.698354142626681,0.214545739816357,0.221496662472849,0.778503337527151,0.001,0.001,0.001,0.001,0.001
"6","Acer_pensylvanicum",2075,0.334737161295803,0.335378687659066,0.664621312340935,0.842170487286751,0.194886949181407,0.195275142552101,0.804724857447897,0.177324540637033,0.177721201899986,0.822278798100013,0.001,0.001,0.001,0.001,0.001
"7","Acer_rubrum",10754,0.466344484597706,0.466443741645116,0.533556258354876,0.25782577167114,0.412060762791581,0.412115439555015,0.58788456044498,0.0950196388554707,0.0951037995883959,0.904896200411605,0.001,0.001,0.001,0.001,0.001
"8","Acer_saccharinum",2043,0.55585033768327,0.556285352044012,0.443714647955984,-0.0441129562158088,0.434753157153077,0.435029967556039,0.56497003244396,0.123257284974583,0.123686639879101,0.876313360120899,0.001,0.001,0.001,0.001,0.001
"9","Acer_saccharum",1529,0.311469535430931,0.312370753316493,0.687629246683508,-0.314287511896235,0.229211880726737,0.229716323213172,0.770283676786829,0.113941171709933,0.11452105314206,0.88547894685794,0.001,0.001,0.001,0.001,0.001
"10","Acer_spicatum",287,0.200847579662552,0.20643605812645,0.793563941873551,0.836122048575589,0.192018628943662,0.19484373863267,0.80515626136733,0.109901180058654,0.113013413694812,0.886986586305188,0.001,0.001,0.03,0.001,0.001
