"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","significant"
"R2","Abies fraseri",0.121043163706164,1,0.00339305652156921,0.001,0.0255712951614002,0.001,8324.17709997606,0.001,23.9179276950249,101.447460571109,-54.2295991700365,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R21","Acer barbatum",0.0921205785752658,1,0.00163229005881992,0.001,0.38102400395904,0.001,14963.312870736,0.001,12.5538526654051,28.8053673182922,-0.447942192726884,1000,1000,332,1,1,0.332,"overdisper.shifter","non-significant"
"R22","Acer leucoderme",0.138581540627684,1,0.00147242361840869,0.001,0.216560484304426,0.001,9092.64905330335,0.001,30.808993287256,22.20992543657,-25.3320417660994,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R23","Acer negundo",0.0623211122312178,1,0.000798071922840896,0.001,0.370533584316078,0.001,314823108.161268,0.001,0.845239142659537,-5.61109443800381,-2.03519173907092,782,1,26,0.782,0.001,0.026,"generalists","non-significant"
"R24","Acer nigrum",0.0982880561400738,1,0.00123062256228018,0.001,0.240692548496117,0.001,161519.82045672,0.001,14.9771380485329,12.2341931407091,-21.6807476096922,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R25","Acer pensylvanicum",0.104963879631517,1,0.00117408539905812,0.001,0.318159388323801,0.001,40661035.253302,0.001,17.6001594243162,9.90169875833999,-9.95965250024245,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R26","Acer rubrum",0.0357307266948847,1,0.00120399797750024,0.001,0.647122363626276,0.001,1856725289.69865,0.001,-9.60248311086034,11.1357706006852,39.8139839303216,1,1000,1000,0.001,1,1,"shifting","significant"
"R27","Acer saccharinum",0.0242406276252989,1,0.000965984467439805,0.001,0.680352071227298,0.001,2154999613.10608,0.001,-14.1170984999614,1.3162971162551,44.8417940761486,1,907,1000,0.001,0.907,1,"generalists","non-significant"
"R28","Acer saccharum",0.0707085194212325,1,0.0012157420328614,0.001,0.336840280179294,0.001,221861473.150374,0.001,4.14076491187836,11.6202827621558,-7.13314620858745,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R29","Aesculus glabra",0.0380644642552514,1,0.00219356989338368,0.001,0.546232217793544,0.001,5282386.40632108,0.001,-8.68552604718774,51.9615001422009,24.5488330923355,1,1000,1000,0.001,1,1,"shifting","significant"
"R210","Ailanthus altissima",0.0511418739027755,1,0.000697219242342788,0.001,0.495999828782271,0.001,282284009.643579,0.001,-3.54723485520247,-9.77186758795407,16.9484377427165,1,1,1000,0.001,0.001,1,"specialists","significant"
"R211","Annona glabra",0.0819496550068576,1,0.00781630612937107,0.001,0.345201067733622,0.001,403014.995963007,0.001,8.55755917957688,283.932825489251,-5.8681199556492,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R212","Asimina triloba",0.0833549358912687,1,0.00069534435133626,0.001,0.119973166574484,0.001,34497539.4261777,0.001,9.10971305295515,-9.84921799768553,-39.9461545916328,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R213","Betula alleghaniensis",0.114676016251387,1,0.000734036930984506,0.001,0.197597243024919,0.001,13229364.0505089,0.001,21.4161893105318,-8.25291886406206,-28.2012688459049,1000,1,1,1,0.001,0.001,"overdisperser","non-significant"
"R214","Betula lenta",0.0963533091684403,1,0.00128300417093322,0.001,0.247401284890121,0.001,3093766.89638957,0.001,14.2169497856419,14.3952461713111,-20.6656844224852,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R215","Betula nigra",0.0666386260786865,1,0.00118923234224923,0.001,0.435868842448387,0.001,8999332.2156229,0.001,2.54164875065274,10.5266002901795,7.85033833124923,991,1000,1000,0.991,1,1,"overdisper.shifter","significant"
"R216","Betula populifolia",0.109483298094719,1,0.0030469838308104,0.001,0.241937197536626,0.001,1659174.43894107,0.001,19.3759000876641,87.1699029243663,-21.4924263897465,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R217","Carpinus caroliniana",0.0632913701098699,1,0.00116698196555337,0.001,0.471938685346067,0.001,47099471.6793979,0.001,1.22646659107676,9.60863986042031,13.3078742282477,867,1000,1000,0.867,1,1,"generalists","non-significant"
"R218","Carya alba",0.0797205619182956,1,0.000933144509152486,0.001,0.281712982785709,0.001,1420585.45273132,0.001,7.68171834474902,-0.0385465627874876,-15.4741640855839,1000,480,1,1,0.48,0.001,"generalists","non-significant"
"R219","Carya aquatica",0.0926633973392722,1,0.00142657265026544,0.001,0.393327729393068,0.001,78308.6664229509,0.001,12.7671335022921,20.3183001846935,1.41366899902411,1000,1000,923,1,1,0.923,"overdisper.shifter","non-significant"
