"","intercepts","slopes","R2"
"1",0.0592101870634699,0.00095582708393173,0.390541429346154
"2",0.0570651917460679,0.00088759815005389,0.382620708155338
"3",0.0592221929715792,0.00093983464069298,0.388489523458236
"4",0.0609214003907319,0.000943995964261354,0.383140249763611
"5",0.064763294045485,0.000982682120883939,0.382024220697297
"6",0.0600201786655248,0.000936548783798333,0.38864822215242
"7",0.0604524944614169,0.000902036191502634,0.378854038659221
"8",0.0574967375301317,0.000912140394617218,0.384440508004325
"9",0.0595043414032465,0.000929085432609604,0.378959662075673
"10",0.0595542402972227,0.000898008039334142,0.377298624436179
"11",0.06089729671294,0.00091750279958673,0.379915429457952
"12",0.0582058757676395,0.000932236476522454,0.392575568946523
"13",0.0579825372460147,0.000907712729942413,0.381814405079693
"14",0.0569320357775835,0.000897410152530029,0.385304235306003
"15",0.0600488316853672,0.000937420907616778,0.383706636546132
"16",0.0622323378154259,0.000963040293948083,0.381854988575817
"17",0.0606159020437526,0.000990007130685609,0.389273494696482
"18",0.0648073937987629,0.000982509589999929,0.377460870634452
"19",0.0616128032909776,0.000938132357123193,0.382529504498197
"20",0.0558906751441287,0.000877612771719801,0.388456782834286
"21",0.062965617098727,0.000939863578152682,0.381933666249892
"22",0.0564767412333399,0.000922987942374466,0.391391602580282
"23",0.060851739951375,0.000946961587859595,0.390285637695438
"24",0.0587227204803931,0.000905571050922516,0.385810158946979
"25",0.0580062777090074,0.000920348674117819,0.387321866280321
"26",0.0640341118338384,0.000949130824416523,0.377393268565955
"27",0.0611426406426418,0.000949546302086839,0.387367975731208
"28",0.060871590352051,0.000925054989720689,0.384867795144669
"29",0.0638979206224829,0.00093449770741368,0.368474238384871
"30",0.0576521423221974,0.000914139027926288,0.390733424393331
"31",0.0588864335832549,0.000911984647457489,0.387582753029062
"32",0.0624070245945393,0.00093592386187049,0.377494140849485
"33",0.0585735874034797,0.000960387864543386,0.398667887810107
"34",0.0595364079764793,0.000903836561276366,0.372638519174303
"35",0.059211775478574,0.000935547694070157,0.389805105393084
"36",0.0596168841206513,0.000932676192215821,0.384996360238651
"37",0.0611548225081279,0.000941538023199822,0.390186651415638
"38",0.058761793201386,0.000949476850826276,0.390130187116566
"39",0.0598889763351097,0.00093161998978245,0.383736419147355
"40",0.0601360441786395,0.000898087432156795,0.37655147324099
"41",0.0624425442106165,0.000929301441005994,0.374528870356811
"42",0.0580007026001936,0.000910755867093185,0.388839064110964
"43",0.0579435378625391,0.000944028885095879,0.388674030247555
"44",0.0592931968673996,0.000937088240697325,0.387703815154067
"45",0.0633298279539781,0.000953121052559007,0.380150112750863
"46",0.0584605194217452,0.000946108797647226,0.392643129295217
"47",0.0589740121817633,0.000927119494922366,0.395332969745901
"48",0.0642307329717801,0.000943291832120499,0.364593127987082
"49",0.0587348365297888,0.000913812803598948,0.378545734725704
"50",0.0577062826492748,0.000918926974848852,0.38491623675392
