"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value"
"R2","Abies fraseri",0.121043163706164,1,0.00339305652156921,0.001,0.0255712951614002,0.001,8324.17709997606,0.001
"R21","Acer barbatum",0.0921205785752658,1,0.00163229005881992,0.001,0.38102400395904,0.001,14963.312870736,0.001
"R22","Acer leucoderme",0.138581540627684,1,0.00147242361840869,0.001,0.216560484304426,0.001,9092.64905330335,0.001
"R23","Acer negundo",0.0623125856932405,1,0.00079805583183509,0.001,0.370552244851703,0.001,314713536.38223,0.001
"R24","Acer nigrum",0.0978153786344159,1,0.00123063401716177,0.001,0.240629139093301,0.001,159232.318816062,0.001
"R25","Acer pensylvanicum",0.102707465357368,1,0.00120615099970339,0.001,0.337748957264912,0.001,41567422.1593981,0.001
"R26","Acer rubrum",0.0355269572470954,1,0.00119979786588551,0.001,0.648290613023754,0.001,1846979432.10682,0.001
"R27","Acer saccharinum",0.0241518188195391,1,0.000963640174760755,0.001,0.68153660159225,0.001,2159660579.50468,0.001
"R28","Acer saccharum",0.0708609771684164,1,0.00120680879954244,0.001,0.331736963113234,0.001,213077133.197304,0.001
"R29","Aesculus glabra",0.0380644642552514,1,0.00219356989338368,0.001,0.546232217793544,0.001,5282386.40632108,0.001
"R210","Ailanthus altissima",0.0509606535422421,1,0.000696619122515797,0.001,0.497279528716895,0.001,281651645.962479,0.001
"R211","Annona glabra",0.0819789554617709,1,0.00781420783679079,0.001,0.345098320851033,0.001,402180.525126704,0.001
"R212","Asimina triloba",0.0832316787419142,1,0.000694965774018928,0.001,0.119750794946337,0.001,34226256.1340311,0.001
"R213","Betula alleghaniensis",0.115987224066812,1,0.00073301351998054,0.001,0.195389704139216,0.001,12421524.8777536,0.001
"R214","Betula lenta",0.0963153149781782,1,0.00128234149732274,0.001,0.247277618150767,0.001,3083166.84999596,0.001
"R215","Betula nigra",0.0666386260786865,1,0.00118923234224923,0.001,0.435868842448387,0.001,8999332.2156229,0.001
"R216","Betula populifolia",0.10789199713278,1,0.00312206196402315,0.001,0.248572260049318,0.001,1637535.51389045,0.001
"R217","Carpinus caroliniana",0.0632235724384236,1,0.00116560350110304,0.001,0.472000533157414,0.001,46753913.4162792,0.001
"R218","Carya alba",0.0797205619182956,1,0.000933144509152486,0.001,0.281712982785709,0.001,1420585.45273132,0.001
"R219","Carya aquatica",0.0926633973392722,1,0.00142657265026544,0.001,0.393327729393068,0.001,78308.6664229509,0.001
"R220","Carya cordiformis",0.0832613841837576,1,0.000866056609451102,0.001,0.238248681395404,0.001,3647468.55933164,0.001
"R221","Carya glabra",0.0550964274308968,1,0.00140808281700576,0.001,0.490342863034027,0.001,6691027.93248131,0.001
"R222","Carya illinoinensis",0.0208884309968976,1,0.00309163975393184,0.001,0.767460349105874,0.001,54359693.5162382,0.001
"R223","Carya ovata",0.0895715991652953,1,0.00089509441802856,0.001,0.220049235563411,0.001,8271735.90240766,0.001
"R224","Carya texana",0.0481743109567979,1,0.00387327119351982,0.001,0.763164145194012,0.001,786085.072331823,0.001
"R225","Castanea dentata",0.077966408661769,1,0.00112354367108547,0.001,0.325028597018613,0.001,16219145.1265496,0.001
"R226","Celtis laevigata",0.0539756613929812,1,0.00139072204591798,0.001,0.58463087854728,0.001,82549518.3957012,0.001
"R227","Celtis occidentalis",0.0648138564480297,1,0.000891799237237257,0.001,0.400578272120281,0.001,43048188.7967582,0.001
"R228","Cercis canadensis",0.0510909077626827,1,0.000845718976077067,0.001,0.44442624207973,0.001,514926148.707349,0.001
"R229","Chamaecyparis thyoides",0.0735383329098031,1,0.00202930594449234,0.001,0.805312428100505,0.001,7259438.76239602,0.001
"R230","Cornus florida",0.0685071782628059,1,0.000880257628872278,0.001,0.302443311768523,0.001,123318846.822218,0.001
"R231","Diospyros virginiana",0.0674283228253052,1,0.000748802394841065,0.001,0.292422635532272,0.001,71491809.9140873,0.001
"R232","Fagus grandifolia",0.0777071972215053,1,0.00123727787662049,0.001,0.363011704665737,0.001,559262433.334185,0.001
"R233","Fraxinus albicans",0.100324527024576,1,0.0101925208033815,0.001,0.553814109848788,0.001,1457.19033101234,0.001
"R234","Fraxinus americana",0.083114368547965,1,0.000926921607556226,0.001,0.361418051449927,0.001,13226069.5916243,0.001
"R235","Fraxinus caroliniana",0.102299266901686,1,0.00195262521883698,0.001,0.47304845607277,0.001,183561.474134718,0.001
"R236","Fraxinus pennsylvanica",0.0179145501760965,1,0.00108205954451131,0.001,0.870829228090436,0.001,5480669915.0258,0.001
"R237","Fraxinus profunda",0.119997403345634,1,0.00162500563742717,0.001,0.216193348049183,0.001,2683.22408924188,0.001
"R238","Fraxinus quadrangulata",0.072263181558284,1,0.00357261837607102,0.001,0.401964102160341,0.001,306824.038038209,0.001
"R239","Gleditsia aquatica",0.0798064837566599,1,0.00169961410909362,0.001,0.536856130659401,0.001,98616.3807738769,0.001
"R240","Gleditsia triacanthos",0.0374747273128964,1,0.00179394219949336,0.001,0.695048471286495,0.001,107236468.249958,0.001
"R241","Gordonia lasianthus",0.0707961868533989,1,0.00266624462304509,0.001,0.600604396857694,0.001,2021051.53318977,0.001
