,species,n,Intercept,Slope,Slope.p.value,R2,F.value,F.test.p.value
R2,Abies_fraseri,798,0.12105071,3.39E-07,0.001,0.025625874,8363.372446,0.001
R21,Acer_barbatum,249,0.090852877,1.76E-07,0.001,0.421539591,22498.71056,0.001
R22,Acer_leucoderme,265,0.13417913,1.56E-07,0.001,0.233911888,10679.93342,0.001
R23,Acer_nigrum,114,0.09799439,2.12E-07,0.001,0.256951543,2226.652876,0.001
R24,Acer_pensylvanicum,2075,0.162121071,1.89E-07,0.001,0.050993961,115623.5293,0.001
R25,Acer_saccharinum,2043,0.091278957,6.78E-08,0.001,0.102785944,238963.381,0.001
R26,Acer_saccharum,1529,0.154666549,6.53E-08,0.001,0.022492478,26879.25919,0.001
R27,Aesculus_flava,5,0.289966837,9.45E-07,0.117,0.265390037,2.890132723,0.117
R28,Aesculus_glabra,1273,0.057928712,2.55E-07,0.001,0.413756847,571415.2906,0.001
R29,Ailanthus_altissima,6560,0.053349865,7.49E-08,0.001,0.397775273,14209887.31,0.001
R210,Annona_glabra,831,0.127248008,5.33E-07,0.001,0.147355855,59599.98974,0.001
R211,Betula_alleghaniensis,384,0.205620868,1.33E-07,0.001,0.014302262,1066.962498,0.001
R212,Betula_lenta,245,0.173230606,2.66E-07,0.001,0.133912203,4621.20346,0.001
R213,Carpinus_caroliniana,3024,0.085927166,8.63E-08,0.001,0.183403311,1026571.74,0.001
R214,Carya_alba,1636,0.106737408,5.91E-08,0.001,0.071180014,102493.6422,0.001
R215,Carya_aquatica,453,0.101246252,1.30E-07,0.001,0.348378066,54733.50586,0.001
R216,Carya_cordiformis,968,0.119745523,6.69E-08,0.001,0.071056442,35800.08932,0.001
R217,Carya_glabra,1762,0.078991967,1.32E-07,0.001,0.222243475,443322.7937,0.001
R218,Carya_illinoinensis,5990,0.024211451,3.81E-07,0.001,0.77038107,60179559.49,0.001
R219,Carya_ovata,1411,0.112113478,8.44E-08,0.001,0.086157209,93785.43333,0.001
R220,Carya_texana,725,0.050233527,4.08E-07,0.001,0.755856385,812525.8445,0.001
R221,Castanea_dentata,1530,0.146080502,2.35E-07,0.001,0.137879597,187068.3254,0.001
R222,Celtis_occidentalis,1549,0.090103959,8.52E-08,0.001,0.211779905,322128.3144,0.001
R223,Chamaecyparis_thyoides,378,0.0999448,2.86E-07,0.001,0.675439617,148279.7981,0.001
R224,Fraxinus_albicans,53,0.087516861,9.52E-07,0.001,0.579425757,1895.717234,0.001
R225,Fraxinus_americana,1434,0.091838311,7.27E-08,0.001,0.110570969,127730.4123,0.001
R226,Fraxinus_caroliniana,558,0.092620441,1.91E-07,0.001,0.502343838,156864.8012,0.001
R227,Fraxinus_pennsylvanica,2090,0.102599343,1.19E-07,0.001,0.304647204,956414.8783,0.001
R228,Fraxinus_profunda,139,0.131079222,1.75E-07,0.001,0.24929485,3184.323859,0.001
R229,Fraxinus_quadrangulata,425,0.147058576,1.70E-07,0.001,0.175177122,19135.14856,0.001
R230,Gleditsia_aquatica,397,0.09169338,1.82E-07,0.001,0.505537366,80364.53388,0.001
R231,Gleditsia_triacanthos,6613,0.038904958,2.48E-07,0.001,0.746012584,64214822.46,0.001
R232,Gordonia_lasianthus,1304,0.066229578,2.77E-07,0.001,0.601575345,1282728.702,0.001
R233,Gymnocladus_dioicus,828,0.069854906,2.23E-07,0.001,0.405498476,233528.3272,0.001
R234,Ilex_opaca,10932,0.089967956,8.23E-08,0.001,0.188214929,13852957.94,0.001
