"","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
"1","Acer negundo",-87.9031,31.131589,32.754204660223,5.95101689181276,1630.31773530114,0.0068081095344785,0.00768482871179103,0.000607985880351805,0.247195910622767,0.0102669689545058,0.845817388721358,19.25,1627.98677635082,32.75,5.94999980926514
"2","Acer negundo",-87.903984,44.886118,26.7923105605816,-11.7804464779158,878.498910562478,0.0298838519934325,0.0247772782774274,-0.0186779343253944,-1.44364629948011,0.0388293151117598,0.692246142630077,7.55000019073486,875.198097264125,26.8355623634185,-11.75
"3","Acer negundo",-87.900917,44.886722,26.835184821786,-11.6952381406482,873.266791639577,-0.00463599383317902,-0.0603339577076431,0.0455093138088249,2.47620911497178,0.0605487979863609,4.63570078970314,7.55000019073486,873.063219677887,26.8422290555502,-11.75
"4","Acer negundo",-87.811678,44.954323,26.7684486592816,-11.7525481399418,860.240829390055,-0.00596297467144427,0.00230549140378413,-0.00171017415556052,-0.290118235611307,0.00639319281792891,2.77266113827829,7.55000019073486,861.492138443348,26.75,-11.75
"5","Acer negundo",-87.885506,44.8867,26.8459032271799,-11.7675532301818,860.768167641926,-1.86294371040664e-07,2.61180421290406e-07,-1.95945748011858e-07,-1.21078489382283,3.20812725974008e-07,2.19037853529467,7.55198652968656,860.88716446658,26.8442154039735,-11.75
"6","Acer negundo",-87.897813,44.887831,26.8771129869203,-11.7544257114867,869.080271975496,-0.0149753735971357,-0.00599499346686502,0.00451089140585512,-0.230943639652963,0.0161314702520504,3.52237784981502,7.55000019073486,871.351342389452,26.8456740907137,-11.7555620583442
"7","Populus deltoides",-87.811678,44.954323,26.7684486592816,-11.7525481399418,860.240829390055,-0.00596297467144427,0.00230549140378413,-0.00171017415556052,-0.290118235611307,0.00639319281792891,2.77266113827829,7.55000019073486,861.492138443348,26.75,-11.75
"8","Populus deltoides",-87.845103,44.906656,26.8541726648959,-11.6711597824785,855.586270953456,-0.00358644009560037,-0.00651330242566807,0.00484776650853848,0.208617322941156,0.00743550132219463,4.20905981179299,7.55689146621683,856.362044642338,26.8431090731276,-11.6780041858357
"9","Ulmus americana",-87.900213,44.885655,26.9324083344766,-11.7422241553347,864.188968113797,-0.0543072350387265,-0.0150461568590704,0.0113243782725632,-0.242020184338344,0.0563828868536987,3.41186950227088,7.55000019073486,871.599714151964,26.830006786642,-11.75
"10","Ulmus americana",-87.900605,44.884262,26.7951145766485,-11.7750979499388,872.032329231259,0.0120385787770071,0.00795909479389606,-0.00599989402411097,-1.47112585692829,0.0144322219338123,0.584161413674418,7.55000019073486,870.682747877722,26.8133400563123,-11.75
"11","Ulmus americana",-87.811678,44.954323,26.7684486592816,-11.7525481399418,860.240829390055,-0.00596297467144427,0.00230549140378413,-0.00171017415556052,-0.290118235611307,0.00639319281792891,2.77266113827829,7.55000019073486,861.492138443348,26.75,-11.75
"12","Acer negundo",-87.619984,44.330614,25.201579497441,-9.70715387512195,816.461735267043,0.00145882683045712,0.0076635084552759,-0.00583039720748663,-3.45428688110308,0.00780120325027137,1.38268677504935,7.72118806838989,816.003479003906,25.2089614868164,-9.65435791015625
"13","Acer negundo",-87.670088,44.107842,25.4840168720863,-9.8241511517829,871.396643582902,0.0074968413230763,0.00690381956374968,-0.0058719352323846,0.971464029590379,0.0101916117761303,0.744241240958764,7.94999980926514,871.213012695312,25.484447479248,-9.8388843536377
"14","Acer negundo",-87.607363,44.128891,25.1934583877152,-9.10991247397736,848.688362186174,-0.134859321670055,0.0847262518425189,-0.0512029682613402,-2.04473729947265,0.159946849888568,2.58065497794837,7.91414976119995,869.290283203125,24.8866634368896,-9.08666229248047
"15","Acer negundo",-87.657178,44.062744,25.2364077755546,-9.64409348776788,876.564349678399,0.00341735237659021,0.00260760695915893,-0.00224680188303692,-3.733779629362,0.00429860734790134,0.651800229384432,7.94999980926514,875.963928222656,25.25,-9.58444023132324
"16","Acer negundo",-87.659892,44.282001,25.8679359535471,-10.1240658134804,802.353582732393,-0.0164991485534033,0.0242252191299626,-0.0165875657812546,-0.615134663196936,0.0293143184401336,2.16870651018952,7.84999990463257,805.303771972656,25.8166618347168,-10.1166620254517
"17","Acer negundo",-87.620987,44.164097,25.2976722862782,-9.38869861726887,857.129558617502,-0.0837197698192347,-0.0150889376967152,0.0189555565564239,-3.67185759647413,0.0851715919866409,3.31990979445144,7.85000085830688,867.498779296875,25.149995803833,-9.34999561309814
