"","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
"1","Acer rubrum",-86.480823,46.35458,23.4571764203846,-12.7406490844218,916.70905684063,0.00130133566575726,0.0133345587841293,-0.0105861531091406,0.768373524334834,0.0133983086270122,1.47351318381934,5.34999990463257,918.096685767361,23.4421414778735,-12.75
"2","Acer rubrum",-86.491303,46.41914,22.6506636922597,-12.4597758662756,958.79773252615,0.00277279296274909,0.00114027043468466,-0.000757585759454867,-0.67039866993025,0.00299810346890232,0.390154329046629,5.24160870295237,958.457038289184,22.6499996185303,-12.4499998092651
"3","Betula alleghaniensis",-86.480051,46.354402,23.4569349358796,-12.743055605841,916.651337806007,0.000646051888483992,0.00722372205851391,-0.00573681206280972,0.518604333423487,0.00725261785043645,1.48159887370938,5.34999990463257,917.803504912707,23.4451543165902,-12.75
"4","Fagus grandifolia",-86.480368,46.369462,23.3566279438359,-12.7546430347225,917.848219832572,-0.0343295357608433,0.0469232196590332,-0.0381940476485687,0.0274898809708475,0.0581732006361361,2.2024241175197,5.33954616874148,926.551792005775,23.2522201818314,-12.7395462142616
"5","Ostrya virginiana",-86.47945,46.355113,23.4433791694946,-12.7266312934438,916.789511663147,0.00294212489294579,0.00252532802912481,-0.00195171380356683,1.48765380267423,0.00387730007545915,0.709312957738909,5.34999990463257,918.099357632327,23.4363649949032,-12.75
"6","Prunus serotina",-86.479047,46.348649,23.5125882481066,-12.80766005394,913.997218221567,-0.00225706580633919,-0.0268861604331771,0.0213805517736852,0.0572573412818069,0.0269840078455856,4.62863637660954,5.35333772720511,914.385645109545,23.517775500053,-12.8156251556314
"7","Prunus serotina",-86.479939,46.35501,23.4577987609736,-12.7266360809356,915.145992762287,-0.00822008884853083,-0.0102447310995619,0.00799040553813617,1.3710535374475,0.0131352311912094,4.03620316343336,5.34999990463257,918.15961478258,23.4368213735031,-12.75
"8","Tilia americana",-86.480282,46.355247,23.4785641033743,-12.7316161458628,913.322152920392,-0.0183765459367679,-0.00408102088728346,0.0028812054646529,1.23130784925796,0.0188253561749691,3.36012386534522,5.34999990463257,918.35939018943,23.4337841340134,-12.75
"9","Tsuga canadensis",-86.479424,46.355365,23.4450486516671,-12.7248158080164,916.576011590922,0.00287852977597329,0.00740504506250235,-0.00583642775669729,1.68497787710901,0.00794493260919877,1.20004697878062,5.34999990463257,918.185283518564,23.4342663939564,-12.75
"10","Acer pensylvanicum",-86.43825,46.54851,21.8872810582803,-12.0095135920982,1003.98968007816,0.280445486668116,-0.30815759677592,0.272052204499864,-4.64433737709704,0.429774988207366,5.45074073474812,5.38852143260309,935.788106441326,22.6192693478452,-12.0474085772437
"11","Acer pensylvanicum",-86.43886,46.532823,22.4195334841101,-12.0757653451112,957.472259615544,0.0216334853462817,-0.0415707412673247,0.0350443279529736,3.42101057749598,0.0468800999564042,5.19222443743102,5.26443993580335,955.336844884736,22.4710196625087,-12.1434205109428
"12","Acer pensylvanicum",-86.437691,46.547668,22.2887578966358,-12.0127955336119,964.169868573173,0.11474263291742,-0.151675134825756,0.131630409040929,-0.982718217487947,0.191352949972253,5.36003877629313,5.37418810017968,937.151774800227,22.5972692384367,-12.049741906803
"13","Acer pensylvanicum",-86.445923,46.518918,22.3441518826084,-12.1756850470322,970.047419426871,0.0139034327131996,-0.0118729466000171,0.010655680926274,-0.585551238173101,0.0182841339638929,5.57639794456624,5.15111569985605,967.104882866055,22.37198518804,-12.1719844251006
"14","Acer pensylvanicum",-86.452151,46.550934,20.9484530932327,-11.6051217195613,1094.22091355258,0.797770062655078,-0.262737880359981,0.288056192422112,14.4843725412693,0.997138715245276,5.96503272243262,5.42271006431288,932.383937958003,22.5954203888813,-11.9866600635215
"15","Acer pensylvanicum",-86.437645,46.547778,22.4564496823671,-12.0259609689446,948.329827338158,0.0447117097577543,-0.105153138327248,0.0879233493538272,-0.545637302893425,0.114514370323798,5.11443381220223,5.37555864193812,936.87694240692,22.6011203014366,-12.0500035366568
"16","Acer pensylvanicum",-86.43772,46.547896,22.4425993415018,-12.0143557563149,949.054643015158,0.0481064617138433,-0.1233284411181,0.102706606503405,-0.143665690494203,0.132768478192468,5.08430395830858,5.37748454318019,936.719437423763,22.6038621558751,-12.0497050194563
"17","Acer pensylvanicum",-86.489052,46.532806,22.6257292507623,-11.5980048823053,906.536479560181,-0.0682483797104777,-0.120933899803417,0.0889754111947406,17.532207549155,0.139312895622942,4.19859947069919,5.40463249620539,929.570549283854,22.5137031445543,-11.8953674782011
"18","Acer pensylvanicum",-86.483773,46.535461,22.4249471940391,-11.7404896771777,927.389858703064,0.00948043474694905,-0.055006271716431,0.0445290337955105,9.82296842729477,0.0558463028988685,4.88306407261049,5.34421769000223,932.151044456404,22.4442177408427,-11.9091111045768
"19","Acer pensylvanicum",-86.49344,46.52501,22.4320090288144,-11.9201018660833,940.495866275073,0.0302741284801516,-0.0354825622198147,0.0310527678849981,-1.27857294391767,0.0466595602311263,5.41874450665424,5.33878648338025,933.297157638416,22.5087823664019,-11.9134422232975
"20","Acer pensylvanicum",-86.439663,46.548175,22.6104605273785,-12.1375296103523,939.910952964902,2.71926214689378e-32,4.44089209850063e-16,-3.53165022569318e-16,-6.10581578474971,4.44089209850063e-16,1.5707963267949,5.3971127752011,936.032803148896,22.6197853846451,-12.0426665765448
"21","Acer pensylvanicum",-86.435952,46.546458,22.4849565666376,-11.9729445834415,940.998656021759,0.0222650380526687,-0.0669566168400721,0.0553846309367375,4.7938263978303,0.0706201507169923,5.03341574544074,5.34067034738318,939.10226256079,22.5495654577422,-12.0682250934674
"22","Acer pensylvanicum",-86.437203,46.544155,22.5098136784606,-12.0364102177023,942.318966066558,0.00916494746538487,-0.0167242226394229,0.0141705595979377,2.04700440461389,0.0190719685679353,5.21369876395667,5.32555754036686,942.315055460552,22.5255572024214,-12.0744424484625
"23","Acer pensylvanicum",-86.544922,46.495439,22.6098193980779,-11.9487184903843,916.220351459841,-0.0209156245588764,0.052395064216286,-0.0432893863820531,-5.22391087038387,0.0564454461186853,1.95060487303534,5.4441597585337,918.494879469326,22.5445659720375,-11.8529203929117
"24","Acer rubrum",-86.544761,46.495892,22.2839168293929,-11.8550446599525,942.615595104614,0.109924282341671,-0.0827968591648193,0.0757635007457683,-2.47831744553138,0.138055959518042,5.63762837377662,5.44999980926514,918.085413472976,22.5503212719324,-11.8500003814697
"25","Acer rubrum",-86.466395,46.552105,21.7279822065183,-11.4348099464418,994.310943127871,0.428563094468326,-0.0528221317449497,0.0857967854142951,27.6601128846727,0.446494216312786,6.16054978190497,5.36159857836415,929.768116480607,22.503345941998,-11.9277757762034
"26","Acer rubrum",-86.466453,46.552008,22.627859008561,-11.5084426263078,904.526954215107,-0.0245922797928186,-0.00254205601088773,-0.000501785392520935,27.0807855808316,0.0247258337336718,3.24459488519594,5.35998134587207,929.85375903151,22.5011237324803,-11.9288868867319
"27","Acer rubrum",-86.473953,46.516671,22.1456604696817,-12.0616944471008,983.67865087246,0.119017532181629,-0.0531364699212295,0.0530111984246233,-2.5499103935597,0.130712446004593,5.86327982751642,5.25287283749915,956.531158468564,22.4022293530998,-12.0500001907349
"28","Acer rubrum",-86.437698,46.534431,22.3081356965424,-12.1358195732016,968.726395414753,0.0721145897611286,-0.0222133669702852,0.0242474820518487,-0.0840293628383696,0.0755300448907951,5.98437905969819,5.25110661511814,954.151244355706,22.4518205900904,-12.1492863974691
"29","Acer saccharum",-86.442342,46.528936,22.4769325270441,-12.1061230494102,958.993581481275,0.0121780837400311,-0.0287510955940664,0.0239711040421636,2.21033830766899,0.0312289643852838,5.11304725618659,5.30541038357124,958.160145677321,22.5054103419206,-12.150478312754
"30","Acer saccharum",-86.490481,46.530753,22.6038169536237,-11.6840209020712,914.417616794347,-0.0346051444468413,-0.0513154613480063,0.0372044789389514,13.3192964101301,0.061932982098565,4.11907844898211,5.3982845605888,930.070838468543,22.5254518716764,-11.9017153835483
"31","Acer saccharum",-86.469023,46.523405,22.4373308397637,-12.0584498875198,951.309970227068,-0.00113806399904961,0.018455888217832,-0.014754954906185,-0.267090149950983,0.0184919976018013,1.63238235238651,5.3019548463233,952.567794629281,22.4177718671973,-12.0500001907349
"32","Acer saccharum",-86.472229,46.502356,22.402123294469,-12.0825185792983,964.855015999026,-0.0370545185407711,-0.0445696553165112,0.0322234725353764,2.97497800348314,0.0579936232321797,4.01880196554504,5.15000009536743,974.424985229728,22.34689117555,-12.1375578210608
"33","Acer saccharum",-86.45693,46.499583,22.3012290621054,-12.2059060439093,984.597779706748,0.0156331817719677,-0.0470796123286587,0.0387176467766057,0.918810398496494,0.049627689616809,5.03299167594011,5.15000009536743,981.482878056707,22.3500003814697,-12.2354814859787
"34","Fagus grandifolia",-86.437121,46.545578,22.4664165871699,-11.9543465674054,943.72517987182,0.0356488295549037,-0.046628914796475,0.0404782649744061,5.54930268971846,0.058728683408593,5.36511954838257,5.34222419122354,940.349301224353,22.5422236334786,-12.0577758677691
"35","Fagus grandifolia",-86.451972,46.526328,22.3262785403459,-11.9837447328979,968.305422913094,0.0941166756820453,0.0702036212446215,-0.0472687112154628,7.92370940625924,0.11768739492151,0.640885545444021,5.30883402700299,958.17188134024,22.436616707651,-12.1010475965257
"36","Fagus grandifolia",-86.516357,46.516159,22.0012315435452,-11.424295616672,954.523177431658,0.263677953732413,-0.0464020177707857,0.0626169060540169,26.6617051015066,0.271035973131909,6.10898902483566,5.3653162767602,923.065840992324,22.4592623109428,-11.8802459273604
"37","Fagus grandifolia",-86.438012,46.534647,22.5781049607873,-12.0890553176771,936.779919901901,-0.0811469509249996,-0.07732642177323,0.0541310622809179,2.95765997022517,0.112326214019304,3.90288715107888,5.25443994528936,953.765170966261,22.4574502461899,-12.1469900457569
"38","Fagus grandifolia",-86.465567,46.551938,22.8637644322063,-11.6228381958991,885.51846887876,-0.144084838895567,0.0337455837588023,-0.0414975786559401,21.9019312638929,0.148529314947038,2.91153294343652,5.35091902076645,930.242616196998,22.4989015229625,-11.9399979644562
"39","Fagus grandifolia",-86.453835,46.530846,22.7478917343514,-11.8946671126585,920.477378028172,-0.0989109083793893,0.11016096229067,-0.0967187411157328,12.6714405900484,0.148596261659854,2.30243682943175,5.32900708219589,953.250818059546,22.4567966631254,-12.0543242847051
"40","Fagus grandifolia",-86.449194,46.526959,22.2694464270912,-12.0212339908205,976.984921919457,0.116267209110845,-0.00336801785413191,0.0131999586245645,5.39389563332617,0.116579871955387,6.25422549748998,5.31062668189687,958.214969130242,22.4717423101262,-12.1206179190143
"41","Fagus grandifolia",-86.545017,46.495625,22.7708122108375,-11.901059131839,899.783007918352,-0.0906507329614505,0.0693736585091435,-0.0633347378663151,-1.51395286026087,0.11439952975974,2.48838061301626,5.44803624411243,918.207743298602,22.5481584604526,-11.8509821593646
"42","Fagus grandifolia",-86.467812,46.550438,22.5748001726333,-11.6633694957258,911.860328584202,-0.0219630717342422,0.0233257083662441,-0.0207435420930337,17.7251994925637,0.0320439790514464,2.32611583347469,5.34193392102655,930.765806548775,22.463346170677,-11.9311091254673
"43","Fagus grandifolia",-86.436241,46.542942,22.479886147085,-12.0611738006979,945.263091385192,0.0214544319585222,0.0127317525838051,-0.00811701798527707,2.49559919874941,0.0249503374841508,0.53557630266808,5.30000200905324,944.015976145599,22.500001950736,-12.0999979008912
"44","Fagus grandifolia",-86.477853,46.519722,22.4360558562105,-11.9722348722476,948.244750435712,0.0143665063382114,0.0111643644808308,-0.00752021265124347,5.01237212850094,0.0181954959848902,0.66062733657408,5.26343780988264,950.316132496189,22.4377850444695,-12.0500001907349
"45","Fagus grandifolia",-86.475589,46.504117,22.3242792645314,-12.1025674701017,972.757229103411,0.00575068780865727,-0.0318477257136098,0.0257753483362518,-1.18199415059338,0.0323684088851899,4.89103227172229,5.15062096707127,970.446021668809,22.3500003814697,-12.0939520880952
"46","Fagus grandifolia",-86.436003,46.54325,22.5336215475177,-12.0521329798773,938.686898474156,-0.00901701780578551,0.0013612844965557,-0.00192998776240137,3.03933445403554,0.00911932074617064,2.99175577790651,5.30111311911037,943.543746427689,22.501113040668,-12.0988867982476
"47","Fagus grandifolia",-86.427978,46.551553,22.031204109093,-11.7273392195303,981.230627168197,0.322744443875483,-0.0908943455217632,0.103116795106968,19.4656073697909,0.341923120400304,6.00866624051142,5.39001297105591,930.492581788136,22.6491267888527,-12.0908864597886
"48","Fagus grandifolia",-86.428892,46.550028,22.5425174768509,-12.0069799379439,935.656028951438,0.0309316500190511,-0.0371883520949049,0.0325387910816678,5.09220184541422,0.0483897466429372,5.40619588787539,5.3544574492283,933.136701243237,22.6043630520779,-12.1000947564603
"49","Fraxinus pennsylvanica",-86.54026,46.482769,22.5572391252314,-12.0455663092122,935.898137748937,-0.018424294366412,0.0520646007260778,-0.0427101062426171,-7.14419801619224,0.0552565246851244,1.91091795212154,5.33223766928446,936.224106385093,22.5011307692483,-11.9193761943619
"50","Ostrya virginiana",-86.544638,46.494338,22.7430008026309,-11.8631927283939,900.711781701982,-0.080874651495797,0.07795786724146,-0.069122672587587,1.84536380399411,0.112568072182052,2.37455632481815,5.4218642437083,920.064285097872,22.5244561372197,-11.8640680971677
"51","Tsuga canadensis",-86.547475,46.494775,22.0865155268272,-12.0072196720888,966.248394577734,0.202889003049874,-0.0281388455486721,0.0415752197568503,-11.357006865713,0.206291052317452,6.14537359300425,5.42779070589163,918.30879461762,22.5258165860558,-11.8611048802058
"52","Tsuga canadensis",-86.43823,46.55657,22.7219481742084,-12.0165041944538,924.233031610346,-1.63155728813627e-31,-8.88178419700125e-16,7.06193656215329e-16,-0.120803843791407,8.88178419700125e-16,4.71238898038469,5.44999980926514,924.820755513134,22.7153302314651,-12.0153304222
"53","Tsuga canadensis",-86.438003,46.53408,22.4215875579229,-12.1026521816531,956.444687327418,0.0225755961295849,-0.00882526209657727,0.00907874131873259,2.49455504924744,0.0242416562263098,5.91053055387007,5.25443994528936,954.327240720948,22.4571542484244,-12.1472860406996
"54","Tsuga canadensis",-86.439653,46.548022,22.3600596561219,-12.1098059654524,963.794576356949,0.113434843441191,-0.0493431043447397,0.050155629326634,-5.90930107907318,0.124019762488234,5.87288295379846,5.39543366456339,936.307028003097,22.6164271473564,-12.043209688611
"55","Tsuga canadensis",-86.444563,46.52942,23.6642107521118,-12.0692116819727,833.724256816419,-0.672432431462031,-0.268813672207373,0.152948548447324,5.15824307592965,0.809834054805583,3.52189478842811,5.33332875934432,956.950290187385,22.5370373071761,-12.1462906769808
"56","Tsuga canadensis",-86.543012,46.496511,22.0547860985745,-11.8192775842894,966.280742492234,0.238969362232557,-0.060992234730876,0.0709135335711777,-0.738477799406231,0.249201398142716,6.03329004904901,5.44999980926514,918.468613087877,22.5535575838491,-11.8500003814697
"57","Tsuga canadensis",-86.451858,46.526745,21.5153023801005,-11.9199619291443,1055.86941776423,0.488133966346527,-0.0488490052942055,0.0831936565089634,7.02900582945224,0.512746171632068,6.18344442893423,5.3142046648016,957.811139284167,22.4430984475555,-12.0986404754027
"58","Tsuga canadensis",-86.444563,46.529495,23.0921469841615,-11.9585594506112,888.432534273325,-0.332134614000888,-0.176416239590642,0.110248873686638,11.2593719631836,0.385561959171347,3.62985551461654,5.33332875934432,956.850475450405,22.5379631866996,-12.1453648062871
"59","Tsuga canadensis",-86.461783,46.519436,22.4199840880667,-12.1010264791621,961.577295344547,-0.00336218916474945,-0.0261526565060077,0.0204734822499666,-2.18752366496668,0.0263709489698033,4.58453016748031,5.24844440227133,960.512249679682,22.4275583770608,-12.0739979528981
"60","Tsuga canadensis",-86.450583,46.533333,22.4390777806568,-12.0086773436564,959.614507902573,0.0697902237804223,0.0605608942053966,-0.0416481411634095,4.4818260874693,0.092534908837062,0.714712516298352,5.32160352774684,951.564465458431,22.5171703683003,-12.0717277466816
"61","Tsuga canadensis",-86.494741,46.525041,21.8904194781289,-11.8450561202089,992.14163194487,0.264323344855027,-0.217488671936402,0.198067604370441,-1.69092939666896,0.349361916278363,5.59468798985763,5.34691095145788,932.263754189869,22.5324623332321,-11.9053177939604
"62","Acer rubrum",-89.915537,47.947931,20.620802348704,-15.8822822787527,870.175184833244,0.112492090349908,-0.140977322670028,0.16405535265326,7.9887355296119,0.18135059872938,5.3858753597392,2.85527366837238,853.60078038491,20.9338743040935,-16.0377863729904
"63","Acer saccharum",-89.913277,47.94776,20.7977068120337,-15.7630584820642,843.560557690161,0.0261024050414218,-0.0880184109001064,0.0770094974615867,16.8408203725017,0.0919367365865322,5.00068333394649,2.82922597770023,856.640636796978,20.8840009580334,-16.0066753490627
"64","Acer rubrum",-89.63717,29.450887,28.9576858471494,12.3679620133659,1541.38893169491,-0.00452804520668816,-0.00231255837100219,-0.000544236911188574,-0.352022853928769,0.00508442153802216,3.61377858391732,21.5499992370605,1543.83561265016,28.9500007629395,12.3500003814697
