"","tax","eoo","issue_eoo"
"1","Abies fraseri",21378.1,NA
"2","Acer barbatum",1086167,NA
"3","Acer leucoderme",667175,NA
"4","Acer negundo",6578501,NA
"5","Acer nigrum",1655707,NA
"6","Acer pensylvanicum",1618645,NA
"7","Acer rubrum",4706225,NA
"8","Acer saccharinum",3510258,NA
"9","Acer saccharum",2925485,NA
"10","Aesculus glabra",1639661,NA
"11","Ailanthus altissima",5480715,NA
"12","Annona glabra",129515,NA
"13","Asimina triloba",2339520,NA
"14","Betula alleghaniensis",2296551,NA
"15","Betula lenta",714840,NA
"16","Betula nigra",2939740,NA
"17","Betula populifolia",654656,NA
"18","Carpinus caroliniana",3543924,NA
"19","Carya alba",2552414,NA
"20","Carya aquatica",1619489,NA
"21","Carya cordiformis",3360190,NA
"22","Carya glabra",2825681,NA
"23","Carya illinoinensis",1587268,NA
"24","Carya ovata",2647434,NA
"25","Carya texana",675556,NA
"26","Castanea dentata",1319566,NA
"27","Celtis laevigata",3308941,NA
"28","Celtis occidentalis",3499348,NA
"29","Cercis canadensis",5233721,NA
"30","Chamaecyparis thyoides",971197,NA
"31","Cornus florida",2966525,NA
"32","Diospyros virginiana",2970631,NA
"33","Fagus grandifolia",3157807,NA
"34","Fraxinus albicans",64763,NA
"35","Fraxinus americana",3883855,NA
"36","Fraxinus caroliniana",1357062,NA
"37","Fraxinus pennsylvanica",5493725,NA
"38","Fraxinus profunda",1230912,NA
"39","Fraxinus quadrangulata",874705,NA
"40","Gleditsia aquatica",1366109,NA
"41","Gleditsia triacanthos",2849960,NA
"42","Gordonia lasianthus",657282,NA
"43","Gymnocladus dioicus",1788277,NA
"44","Ilex opaca",2265936,NA
"45","Juglans cinerea",2232992,NA
"46","Juglans nigra",3467059,NA
"47","Juniperus virginiana",3955967,NA
"48","Liquidambar styraciflua",2299666,NA
"49","Liriodendron tulipifera",2254323,NA
"50","Maclura pomifera",385234,NA
"51","Magnolia acuminata",1390534,NA
"52","Magnolia fraseri",128524,NA
"53","Magnolia grandiflora",1110638,NA
"54","Magnolia macrophylla",647679,NA
"55","Magnolia virginiana",1887971,NA
"56","Morus rubra",4165409,NA
"57","Nyssa aquatica",1153068,NA
"58","Nyssa biflora",1949325,NA
"59","Nyssa ogeche",106989,NA
"60","Nyssa sylvatica",2936033,NA
"61","Ostrya virginiana",4620145,NA
"62","Oxydendrum arboreum",1095810,NA
"63","Paulownia tomentosa",3008460,NA
"64","Persea borbonia",1595407,NA
"65","Pinus clausa",201309,NA
"66","Pinus echinata",1704981,NA
"67","Pinus elliottii",610434,NA
"68","Pinus glabra",346787,NA
"69","Pinus palustris",1161366,NA
"70","Pinus pungens",226611,NA
"71","Pinus rigida",786972,NA
"72","Pinus serotina",632639,NA
"73","Pinus taeda",1640613,NA
"74","Pinus virginiana",810677,NA
"75","Planera aquatica",982610,NA
"76","Platanus occidentalis",3362702,NA
"77","Populus deltoides",5328504,NA
"78","Populus heterophylla",1507711,NA
"79","Prunus americana",5027549,NA
"80","Prunus serotina",5911694,NA
"81","Quercus alba",3256653,NA
"82","Quercus bicolor",2072673,NA
"83","Quercus coccinea",1609294,NA
"84","Quercus ellipsoidalis",639421,NA
"85","Quercus falcata",1797600,NA
"86","Quercus ilicifolia",430949,NA
"87","Quercus imbricaria",1314916,NA
"88","Quercus incana",1450427,NA
"89","Quercus laevis",781303,NA
"90","Quercus laurifolia",1659328,NA
"91","Quercus lyrata",1595992,NA
"92","Quercus macrocarpa",4318826,NA
"93","Quercus margaretta",1181766,NA
"94","Quercus marilandica",2552241,NA
"95","Quercus michauxii",3923952,NA
"96","Quercus minima",491810,NA
"97","Quercus muehlenbergii",3386970,NA
"98","Quercus nigra",1899019,NA
"99","Quercus pagoda",1417064,NA
"100","Quercus palustris",1687693,NA
"101","Quercus phellos",1749213,NA
"102","Quercus rubra",3622586,NA
"103","Quercus shumardii",2421751,NA
"104","Quercus sinuata",696117,NA
"105","Quercus stellata",3078896,NA
"106","Quercus texana",817628,NA
"107","Quercus velutina",3058227,NA
"108","Quercus virginiana",2515440,NA
"109","Robinia pseudoacacia",1045179,NA
"110","Salix caroliniana",2791094,NA
"111","Salix nigra",5300137,NA
"112","Sassafras albidum",2905963,NA
"113","Taxodium distichum",2362850,NA
"114","Tilia americana",3094554,NA
"115","Triadica sebifera",1862176,NA
"116","Tsuga canadensis",2322517,NA
"117","Tsuga caroliniana",42186,NA
"118","Ulmus alata",1980393,NA
"119","Ulmus americana",5836919,NA
"120","Ulmus crassifolia",688303,NA
"121","Ulmus rubra",3757107,NA
"122","Ulmus thomasii",1808297,NA
