"","species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation","real.species"
"800","Nyssa ogeche",30.795391,-85.21546,5.0674,33.9532,55.0114,11.0354,1.4679,0.1,"Sandy Clay Loam",25.19152832,"Acer barbatum"
"804","Nyssa ogeche",30.25204,-84.852699,4.6,6.73,85.335,7.935,1.59306666666667,0.1,"Loamy Sand",25.81832314,"Acer barbatum"
"810","Nyssa ogeche",30.697222,-84.850278,4.9596,21.9366,71.0392,7.0242,1.51944,0.1,"Sandy Loam",33.34608841,"Acer barbatum"
"820","Nyssa ogeche",31.306747,-84.33845,5.5,2.29,94.02,3.69,1.652,0.1,"Loamy Sand",39.84931183,"Acer barbatum"
"823","Nyssa ogeche",32.992681,-81.486633,5.197,9.35625,81.7785,8.86525,1.6441,0.424,"Sandy Loam",29.15348244,"Acer barbatum"
"833","Nyssa ogeche",30.410189,-85.276584,4.86435506241331,10.3615811373093,80.2851595006935,9.35325936199723,1.41635,0.1125,"Sandy Loam",23.35884094,"Acer barbatum"
"834","Nyssa ogeche",30.632295,-84.038111,5.41833333333333,26.4475,58.9181666666667,14.6343333333333,1.55136666666667,1,"Sandy Loam",32.01866913,"Acer barbatum"
"860","Nyssa ogeche",30.881708,-84.267564,4.85066666666667,8.798,77.383,13.819,1.5878,0.799,"Sandy Loam",52.09616852,"Acer barbatum"
"869","Nyssa ogeche",32.54275,-81.261385,5.5,7.5,86.764,5.736,1.68,0,"Loamy Sand",11.77230167,"Acer barbatum"
"889","Nyssa ogeche",30.815983,-85.234625,5.524125,18.835,67.022625,14.142375,1.4707125,0.1125,"Sandy Loam",23.06363106,"Acer barbatum"
"903","Nyssa ogeche",30.618469,-86.171516,5.01575,6.780125,83.392625,9.82725,1.5196875,0.1,"Sandy Loam",20.01027489,"Acer barbatum"
"911","Nyssa ogeche",30.665428,-84.26185,5.524,15.2896666666667,73.379,11.3313333333333,1.5871,0.1,"Sandy Loam",59.77391815,"Acer barbatum"
"913","Nyssa ogeche",31.309759,-84.422696,4.8625,7.32,83.627,9.053,1.60575,0.55,"Sandy Loam",49.14029312,"Acer barbatum"
"914","Nyssa ogeche",30.623333,-84.903417,4.65,3.7314,88.02275,7.313,1.26228,0.1,"Loamy Sand",23.02182198,"Acer barbatum"
"926","Nyssa ogeche",31.043745,-86.101928,4.9616,13.163,71.5268,15.3102,1.5214,0,"Sandy Loam",32.04195404,"Acer barbatum"
"931","Nyssa ogeche",31.36,-85.11,5.72666666666667,14.9933333333333,72.2533333333333,12.7533333333333,1.479,0,"Sandy Loam",60.30497742,"Acer barbatum"
"933","Nyssa ogeche",30.85,-85.74,5.3256,21.974,67.7928,10.2332,1.61396,1,"Sandy Loam",30.36019897,"Acer barbatum"
"935","Nyssa ogeche",30.798611,-84.245833,5.3,35.14,51.6,13.26,1.55,1,"Sandy Clay",61.6608696,"Acer barbatum"
"944","Nyssa ogeche",31.406692,-85.083212,4.69,40.25,53.71,6.04,1.4995,0,"Sandy Clay",57.30305481,"Acer barbatum"
"977","Nyssa ogeche",30.45931,-84.2778,5.1468,16.9698,72.1266,10.9036,1.6131,0.64,"Sandy Loam",60.23637009,"Acer barbatum"
"981","Nyssa ogeche",30.75666,-85.229621,5.3256,21.974,67.7928,10.2332,1.61396,1,"Sandy Loam",48.87282562,"Acer barbatum"
"993","Nyssa ogeche",31.196845,-84.468201,5.3,5.5,92.9,1.6,1.45,0,"Loamy Sand",35.70635986,"Acer barbatum"
"994","Nyssa ogeche",31.197932,-84.468805,5.3,5.5,92.9,1.6,1.45,0,"Loamy Sand",36.74182892,"Acer barbatum"
"995","Nyssa ogeche",29.729401,-82.805174,4.6,4.24587458745875,93.5808580858086,2.17326732673267,1.196175,0.1,"Loamy Sand",27.33101654,"Acer barbatum"
"997","Nyssa ogeche",30.820464,-86.213555,4.931,2.55675,92.504,4.93925,1.5526,0.1,"Loamy Sand",64.78212738,"Acer barbatum"
"1003","Nyssa ogeche",30.5,-84.9667,5.3,3.124,93.46,3.416,1.4968,0.1,"Loamy Sand",50.40746689,"Acer barbatum"
"1006","Nyssa ogeche",31.404351,-85.065207,5.108,22.66,59.874,17.466,1.4225,0,"Sandy Loam",74.9068985,"Acer barbatum"
"1010","Nyssa ogeche",30.9,-84.5667,5.42,12.27,76.922,10.808,1.5,0,"Sandy Loam",33.62767029,"Acer barbatum"
"1016","Nyssa ogeche",31.170278,-84.466944,4.775,38.75,34.3,26.95,1.4875,0,"Clay Loam",34.32255554,"Acer barbatum"
"1029","Nyssa ogeche",30.25204,-84.852699,4.6,6.73,85.335,7.935,1.59306666666667,0.1,"Loamy Sand",25.81832314,"Acer leucoderme"
"1042","Nyssa ogeche",30.572852,-84.955421,5.40613496932515,23.5386503067485,55.7846625766871,20.6766871165644,1.46378,0.1,"Sandy Loam",14.29261589,"Acer leucoderme"
"1043","Nyssa ogeche",30.671581,-84.860017,4.833,13.4046666666667,80.2271666666667,6.36816666666667,1.49395,0.1,"Sandy Loam",23.95403099,"Acer leucoderme"
