"","species","n","pc1.var","pc2.var","pc1.high.temp.loading","pc1.low.temp.loading","pc1.moisture.loading","pc2.high.temp.loading","pc2.low.temp.loading","pc2.moisture.loading","pc1.full.mod.intercept","pc1.full.mod.lat.slope","pc1.full.mod.long.slope","pc1.full.mod.lat.p.value","pc1.full.mod.long.p.value","pc1.full.mod.adj.R2","pc2.full.mod.intercept","pc2.full.mod.lat.slope","pc2.full.mod.long.slope","pc2.full.mod.lat.p.value","pc2.full.mod.long.p.value","pc2.full.mod.adj.R2","pc1.lat.mod.intercept","pc1.lat.mod.lat.slope","pc1.lat.mod.lat.p.value","pc1.lat.mod.adj.R2","pc2.lat.mod.intercept","pc2.lat.mod.lat.slope","pc2.lat.mod.lat.p.value","pc2.lat.mod.adj.R2","pc1.long.mod.intercept","pc1.long.mod.long.slope","pc1.long.mod.long.p.value","pc1.long.mod.adj.R2","pc2.long.mod.intercept","pc2.long.mod.long.slope","pc2.long.mod.long.p.value","pc2.long.mod.adj.R2"
"58","Nyssa_biflora",721,0.43198,0.72985,-0.515601027977031,0.612467613250944,0.59919863373319,-0.85279855752176,-0.299073564247676,-0.428123374107273,10.5055030788353,-0.346372994751307,-0.00381205115919255,1.53719925887281e-88,0.654723666181857,0.425005889424903,4.21759193803529,0.210274238556854,0.127638550186279,3.51497524379514e-61,3.89211246907874e-68,0.506517849015936,10.8364077526149,-0.34664889883628,7.3435032921622e-89,0.425645529411362,-6.86205811053275,0.219512309066882,1.88967069598507e-46,0.246946026825378,-1.00488123970477,-0.0118861278495532,0.290051672928704,0.000168073301601734,11.2052536055263,0.132540116861055,2.01256931431695e-53,0.279714243938174
"59","Nyssa_ogeche",261,0.83002,0.97321,-0.614431902358465,0.578718812780852,0.53624432220554,-0.168400554457607,0.567816124449196,-0.805745680766497,14.4363171371644,-1.4169937924529,-0.346385867854327,3.06956043052091e-38,5.58049449344009e-10,0.713901543016016,50.6147662170452,-0.489340536731565,0.425601506731279,2.07732841641122e-16,1.5582760477821e-30,0.397158313204632,54.7386087640488,-1.78615727847812,2.32223601399394e-64,0.669094093890134,1.09566733643204,-0.0357523552744031,0.525659897622823,-0.00229808763550454,-71.8324783810558,-0.85832007434909,3.59648044834725e-36,0.454552712327962,20.8229499600415,0.248811628955069,7.34361352718277e-16,0.219434565656522
"60","Nyssa_sylvatica",3031,0.54896,0.92686,-0.68483912904954,-0.721586059887774,-0.101532878902869,-0.348591511896406,0.20205849812994,0.91523566427847,-12.4723472789339,0.424920253726832,0.0274530648744083,0,1.78257006999127e-23,0.677161907850779,7.75414036987364,-0.19508784678657,0.0111078993792124,1.58852026148999e-104,0.00236648962776742,0.159267418561615,-15.8500529406117,0.454448971109487,0,0.666464688469672,6.38747275756311,-0.183140108966248,1.07130830235846e-114,0.156975680387516,9.33163037983069,0.109114904637194,1.62990298775486e-161,0.214815299746936,-2.25642282527458,-0.0263843885129846,7.88727732060143e-14,0.0179430302344652
"61","Ostrya_virginiana",2150,0.58935,0.90449,0.57615859482581,0.693746970348363,0.432153230626378,-0.58002092849596,-0.0254796212406976,0.814202991524912,12.0285627898791,-0.457344709957439,-0.0420535202136329,0,2.08803453831559e-73,0.830010995528253,4.09346716152617,-0.0470014976031358,0.0281688563527856,1.20269871352389e-08,6.41064841983431e-13,0.0328719177766837,16.1505802671456,-0.469667931034941,0,0.80199633208138,1.3324017950375,-0.0387469913793447,2.67406344260022e-06,0.00974855689522924,-6.34516921909601,-0.0721520363187167,5.01933465954021e-43,0.0838602061912346,2.20519142075971,0.0250756198907246,1.31865545805497e-10,0.0185823994049759
"62","Oxydendrum_arboreum",4535,0.62319,0.96436,0.711562134804826,0.653905434219165,-0.25707394152392,0.0258106243798996,-0.389957049479563,-0.920471244108318,36.0094809509951,-0.632844737423234,0.16586489780404,0,6.3127330484969e-128,0.350433116913129,-3.32326995985112,0.306323248699396,0.0903374287142805,6.71537048513277e-248,6.14733616104914e-89,0.479916785109399,15.3463952850476,-0.435587743371297,1.00680894464793e-301,0.262070311351974,-14.5773089583253,0.413758214593223,0,0.432074237541794,-2.91749623366114,-0.0352873155426038,6.26553652294561e-08,0.00621989387464927,15.519010631441,0.187703489979651,0,0.332654850537527
"63","Paulownia_tomentosa",3900,0.56861,0.92161,0.71646499662487,0.683777717596953,-0.138296570923602,0.109653051286339,-0.306155177696152,-0.945645396284164,14.3065455937884,-0.444366677700449,-0.0185446629969652,8.47454775782966e-274,1.05408406206583e-05,0.356453010343055,-12.7363403615676,0.320042885398263,-0.0156214188846021,8.41381365729801e-202,1.5548683740553e-05,0.23512818971378,16.7439196269025,-0.469037168706053,0,0.353405037666996,-10.6831760222664,0.299261268921845,1.44213375757765e-225,0.23165188172167,-8.10185013928688,-0.0965173262215194,3.93852096373192e-104,0.113281628585819,3.40269073021474,0.0405362485843244,1.25924900229714e-29,0.0320031764709496
"64","Persea_borbonia",603,0.5068,0.84181,0.686108418899197,-0.708696751465559,0.164329400832013,-0.249837696681678,-0.0173886280076922,0.96813158244776,-22.1283525792447,0.396858977139676,-0.117403496411187,7.00388909151642e-62,2.98516598002495e-90,0.607843507068237,1.64164965517525,0.0352465471662268,0.0309722843807817,0.192118669631692,7.71382887025484e-07,0.0392535391960178,-11.9733525758766,0.39932295413062,3.68608088834423e-36,0.229617442200474,-1.03734677683549,0.0345965239692693,0.209264882920902,0.000962344548767979,-10.267169995289,-0.117842973042586,1.26945825551548e-64,0.38006537184891,2.69508615396833,0.0309332527985085,8.06968408940604e-07,0.0381263300688937
"65","Picea_rubens",647,0.78789,0.99193,-0.635276929586698,-0.60708319317015,0.477360680518651,-0.232000278618158,-0.439546264285411,-0.867741293401343,-15.5494159092395,-0.361095815679661,-0.346438355985453,0.125394421355388,0.0196899035180602,0.0844634152960987,-120.549197518455,1.82993805266694,-0.664604298224809,4.73233290410093e-69,7.06345381012558e-28,0.460200229508924,30.3558301596792,-0.84411412374794,2.68656363641304e-13,0.078123541055521,-32.4849767952974,0.903319974393494,1.00893443168788e-62,0.350771530282521,-44.9770440768959,-0.546057191220198,5.56183875973976e-14,0.0825404585002809,28.5822358723445,0.347011142229842,1.90450578516375e-21,0.129579544421755
"66","Pinus_clausa",798,0.47523,0.88882,0.747418864240887,-0.64780861672781,-0.147339870605562,0.249210510453547,0.478972355086389,-0.84171230509152,1.61032672310475,0.845043629225425,0.3172788309479,3.33020862566601e-56,1.31655505794085e-27,0.272633729986295,52.9560092253697,-0.239335269535593,0.559604249099468,1.8069342325327e-18,7.68149382600737e-175,0.756591845771867,-15.9946989011687,0.552071338397143,1.5253939795334e-31,0.156651412499495,21.9049393654137,-0.756068574200453,7.84043332448697e-74,0.339051482471093,5.35196951517631,0.0650773143501168,0.0199983783835016,0.00553245618410836,51.8962922413281,0.631033363366081,3.74835161989975e-230,0.732194565531916
"67","Pinus_echinata",2185,0.54659,0.88185,-0.620246647470695,-0.70867841509535,-0.336257342342598,0.481613629895318,-0.00569372473746284,-0.876365159621074,-16.417510024203,0.553002509202325,0.0319764485990976,0,4.1133898506905e-52,0.826689727432245,-3.29530884540572,0.0729659213337592,-0.00881821760981873,1.31390112503781e-10,0.0210955322607746,0.017901308831591,-20.1931260460556,0.582005902750536,0,0.807442305030285,-2.25409866883992,0.0649675898449223,1.87276748400256e-09,0.0159548403075772,7.73521858609808,0.0893160268468449,2.3323394662744e-88,0.165980120659697,-0.108476839314241,-0.00125254641282723,0.732947037708323,-0.000404718382330804
