"","species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation","X","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C","microclim.dist.mean","topo.dist.mean","soil.dist.mean"
"297889","Carya glabra",28.657939,-82.511988,5.355,1.44957142857143,97.4585714285714,1.09185714285714,1.57632857142857,1,"Loamy Sand",28.15227127,320443,31.3808097839355,10.2416982650757,1376.60827636719,0.0197353661060333,-0.0127769252285361,0.00442394753918052,3.24768280982971,0.0235124733299017,5.70863103866577,21.3500003814697,1358.60424804688,31.3577823638916,10.25,0.257747416587994,0.0867026790753215,0.316242647158925
"297890","Carya glabra",29.629017,-82.321225,4.7885,16.469,78.601,4.93,1.506975,0.1,"Sandy Loam",25.68052101,320444,31.9495983123779,8.47388458251953,1264.61389160156,-0.00857768021523952,0.0175776183605194,-0.000824343878775835,-1.98232209682465,0.0195601135492325,2.02478885650635,20.3500003814697,1274.47399902344,31.9500007629395,8.44999408721924,0.21276306860564,0.0770747337487996,0.271087617168522
"297891","Carya glabra",30.400206,-88.793664,4.94,11.8,66.365,21.835,1.555,0,"Sandy Loam",4.664068222,320445,30.7382545471191,8.1524543762207,1708.77514648438,-0.019457409158349,0.0715004950761795,0.0281574819236994,0.451173663139343,0.0741686671972275,1.83649206161499,19.8955497741699,1705.15966796875,30.6373443603516,7.99554967880249,0.29623540389854,0.0858637965861684,0.246773208481031
"297892","Carya glabra",38.988972,-76.932403,5.4545,19.041,33.715,44.744,1.34645,0,"Loam",17.75392342,320446,30.9583892822266,-2.45124816894531,1082.0439453125,-0.00234299642033875,0.00762247340753675,-0.00680029904469848,-0.564489126205444,0.00797452684491873,1.86900997161865,13.8500003814697,1084.63806152344,30.9500007629395,-2.45000004768372,0.148459733965583,0.0727498742800459,0.252063439684
"297893","Carya glabra",35.702586,-79.094197,4.94198895027624,41.4502762430939,22.5591160220994,35.9906077348066,1.33895027624309,0,"Clay",76.06066895,320448,31.1628971099854,0.699435651302338,1294.705078125,0.186624839901924,-0.121327333152294,0.087663508951664,-5.25029563903809,0.224476858973503,5.70673036575317,15.9533443450928,1242.46130371094,31.5219612121582,1.06736326217651,0.147747459605049,0.147008340029804,0.304966068983721
"297894","Carya glabra",38.883895,-77.15211,5.165,17.7575,50.0895,32.153,1.3496,0,"Loam",82.38636017,320449,30.6693325042725,-2.59953713417053,1118.68786621094,-0.0334782563149929,0.0826826021075249,-0.0756654739379883,-5.24718904495239,0.0893219038844109,1.95552051067352,13.5657081604004,1146.97009277344,30.6198577880859,-2.53903651237488,0.162253306573694,0.0857524976947586,0.244277372267601
"297895","Carya glabra",42.596267,-73.769525,5,8.82926829268293,34.2463414634146,56.9243902439024,1.30121951219512,0,"Silt Loam",42.15383148,490078,27.5755157470703,-8.09326457977295,1075.60668945312,0.112363629043102,0.0301993824541569,-0.0318689942359924,11.7202634811401,0.116615273058414,0.262560158967972,9.99105167388916,1055.74108886719,27.7021617889404,-8.23221683502197,0.187189598000764,0.105522568638283,0.281977571368196
"297896","Carya glabra",39.343551,-82.07452,5.789,33.03,16.1955,50.7745,1.455,0,"Silty Clay Loam",215.6160736,320451,28.9010372161865,-4.24170446395874,1038.55163574219,-0.0265034735202789,0.0164920557290316,-0.00328202010132372,-12.6090507507324,0.031220804899931,2.58496594429016,12.237434387207,1057.92956542969,28.8777465820312,-4.09890127182007,0.1682988350358,0.0863095757025325,0.301402710297707
"297897","Carya glabra",31.978767,-81.170335,4.85633333333333,12.5866666666667,76.2926666666667,11.1206666666667,1.5434,0,"Sandy Loam",4.687717438,320452,31.6669006347656,6.59714841842651,1235.10461425781,-0.00867728795856237,-0.0195516683161259,0.00425721658393741,0.77283376455307,0.0213923566043377,4.29469203948975,19.0530681610107,1231.71118164062,31.6419582366943,6.56085109710693,0.198533760430135,0.0751924442545277,0.258516485410713
"297898","Carya glabra",27.520338,-82.644142,5.22333333333333,1.795,96.8143333333333,1.39066666666667,1.49306666666667,0.1,"Loamy Sand",3.715962172,320453,30.071605682373,13.7220039367676,1458.10266113281,0.0126262940466404,0.0017731215339154,0.00603419914841652,0.695649206638336,0.0127505324780941,0.139518514275551,22.5712394714355,1450.37268066406,30.0712394714355,13.7277727127075,0.270746216026752,0.0773911606522707,0.315111086146887
