"","species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation","X","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C","microclim.dist.mean","topo.dist.mean","soil.dist.mean"
"706852","Morus rubra",32.393837,-96.29969,6.1545,12.34,74.3155,13.3445,1.45615,0.5,"Sandy Loam",128.258728,753062,34.6477508544922,4.34231901168823,1101.09204101562,0.00368579872883856,-0.00236701848916709,-0.00477113341912627,-0.0714314877986908,0.00438041239976883,5.71231317520142,19.0499992370605,1101.32507324219,34.6500015258789,4.34999990463257,0.20708052643682,0.0745071654282776,0.295489936158771
"706853","Morus rubra",27.954938,-81.85983,5.4268,1.0132,97.8974,1.0894,1.50354,0.1,"Loamy Sand",32.53272629,753063,31.5821285247803,11.2883386611938,1350.62744140625,0.00480260793119669,0.004655372351408,0.00398660637438297,-0.136557966470718,0.00668866233900189,0.769832074642181,22.1833381652832,1349.26184082031,31.5833377838135,11.2833385467529,0.204677106921161,0.0736706349107245,0.378814300133808
"706854","Morus rubra",29.33668,-95.284958,6.871,37.699,37.518,24.783,1.4241,1,"Clay Loam",1.741619468,753064,32.1589965820312,9.03429508209229,1356.16540527344,0.0178121831268072,0.133009076118469,0.105954222381115,-2.59009552001953,0.134602531790733,1.43767130374908,20.8500003814697,1342.60034179688,32.1500015258789,8.85250473022461,0.179317699540419,0.102582780890149,0.273393845116832
"706855","Morus rubra",39.564243,-95.113731,6.07377892030848,37.8650385604113,11.9537275064267,50.181233933162,1.40835475578406,0,"Silty Clay",267.7963867,753065,31.1178531646729,-5.86339044570923,993.254638671875,0.085097461938858,0.218618363142014,-0.0829584896564484,13.5512638092041,0.236803576350212,1.19959032535553,12.4248085021973,984.085632324219,31.1248073577881,-5.94999980926514,0.196128643766776,0.187435612112749,0.272320995193924
"706856","Morus rubra",41.124142,-81.35955,5.335,18.76,43.914,37.326,1.4231,0,"Loam",339.151825,404419,27.3206424713135,-6.67956829071045,1024.24328613281,-0.00673276977613568,-0.0462344437837601,0.0571510307490826,0.174805223941803,0.0467391088604927,4.56778287887573,10.1133279800415,1022.10144042969,27.3133296966553,-6.7127103805542,0.276856367376566,0.0921444030739591,0.266899775430939
"706857","Morus rubra",31.318417,-94.27485,4.66,54,17.52,28.48,1.306,3.56,"Clay",62.30504227,753067,33.6923942565918,6.42547225952148,1337.66174316406,-0.0586097314953804,-0.0351988077163696,0.0325585082173347,-2.47082543373108,0.068420447409153,3.68242573738098,19.4500007629395,1344.23986816406,33.6222305297852,6.25,0.196135504994776,0.0796786688611765,0.360188136435717
"706858","Morus rubra",30.113302,-97.182688,6.311,11.86,75.98,12.16,1.5162,1,"Sandy Loam",150.2244568,753068,34.8555068969727,6.58751249313354,959.462280273438,-0.0180515386164188,-0.0209515299648046,0.00364251667633653,-0.81670618057251,0.0276589896529913,4.00120735168457,20.2865371704102,961.01806640625,34.8276443481445,6.55000019073486,0.246241268528181,0.0654426497798059,0.305162556228202
"706859","Morus rubra",30.070343,-95.738861,5.688,19.5,61.568,18.932,1.516,1,"Sandy Loam",65.35727692,753069,33.6768798828125,7.19513320922852,1202.97180175781,-0.00838406942784786,0.000311105657601729,0.00658983923494816,0.0373434089124203,0.00838993769139051,3.10450291633606,20.1499996185303,1203.19458007812,33.6544418334961,7.15000009536743,0.183191742387619,0.0772673280146924,0.266885675476475
"706860","Morus rubra",26.158107,-81.784025,7.78259259259259,7.17222222222222,66.04,26.7877777777778,0.90756,8.65,"Sandy Loam",0.961430371,753070,30.2037311816758,15.7363847824428,1417.64567721243,-0.0061648072070352,0.0426017523239177,0.0253952658011648,0.540830879931238,0.0430587936610898,1.7145065847202,23.5721474630999,1413.49040468622,30.1499996185303,15.6288098353512,0.267446926154527,0.0921985697068192,0.429950600408106
"706861","Morus rubra",33.158408,-97.118753,5.09651162790698,38.6046511627907,38.7674418604651,22.6279069767442,1.34197674418605,1,"Clay Loam",179.3626862,753071,34.3672370910645,3.32303047180176,976.089111328125,-0.0120279779657722,0.00779775297269225,0.0161576345562935,-3.54424667358398,0.0143349673599005,2.56641268730164,18.436071395874,982.233215332031,34.3499984741211,3.29777193069458,0.185276280072509,0.0782858874131781,0.270247016384077
