"X","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
788362,"Paulownia tomentosa",-82.620408,28.531597,30.4500484466553,11.6755180358887,1352.66125488281,-0.0622731596231461,-0.0275083631277084,-0.0259506870061159,-0.643117368221283,0.0681310072541237,3.55755400657654,21.5790405273438,1374.91125488281,30.3566722869873,11.5433292388916
785533,"Paulownia tomentosa",-82.41156,29.61278,32.1054191589355,8.43657779693604,1267.48217773438,-0.0305281337350607,-0.00876975059509277,-0.00542061310261488,-0.112461924552917,0.0317681431770325,3.42132806777954,20.363338470459,1275.06469726562,32.0499992370605,8.35000038146973
787046,"Paulownia tomentosa",-82.350476,29.618251,31.8969802856445,8.31889915466309,1267.70739746094,0.0276469122618437,-0.00654687639325857,0.0044369688257575,-0.687264144420624,0.0284153241664171,6.05066537857056,20.3955612182617,1261.62109375,31.9500007629395,8.3955602645874
790060,"Paulownia tomentosa",-82.376153,29.63515,32.0655555725098,8.43444538116455,1260.00012207031,-0.0283298585563898,-0.00370202260091901,-0.00484189391136169,-0.101938799023628,0.0285746045410633,3.27153205871582,20.3500003814697,1267.46337890625,32.0122184753418,8.35000038146973
787293,"Paulownia tomentosa",-82.627578,29.698627,32.0302391052246,7.91307783126831,1357.12451171875,0.0287360511720181,0.0280116908252239,0.00469955708831549,0.862336456775665,0.0401407591998577,0.772634267807007,20.25,1349.71704101562,32.0499992370605,7.94999980926514
788211,"Paulownia tomentosa",-82.320854,29.656912,31.835147857666,8.34798336029053,1305.40124511719,0.00494109326973557,0.0377151779830456,0.00209747208282351,0.512756705284119,0.0380466468632221,1.44052755832672,20.25,1306.87182617188,31.8159351348877,8.31593418121338
791394,"Paulownia tomentosa",-82.310081,29.655739,31.8459205627441,8.3494873046875,1311.76293945312,0.00495519861578941,0.00708385044708848,0.00106334581505507,-0.307071775197983,0.00864504463970661,0.960401713848114,20.25,1312.16650390625,31.8500003814697,8.35000038146973
790079,"Paulownia tomentosa",-85.325177,29.999569,30.24951171875,8.82362461090088,1718.68908691406,0.00516617577522993,-0.0026532094925642,-3.48161738656927e-05,0.0902538746595383,0.00580769078806043,5.80873823165894,20.1766605377197,1716.41223144531,30.25,8.82666206359863
786170,"Paulownia tomentosa",-90.127144,29.946695,31.0487060546875,9.14711570739746,1934.12377929688,-0.00110097380820662,-0.0100680552423,-0.00505850417539477,-0.183180600404739,0.0101282466202974,4.60346841812134,20.5499992370605,1937.34289550781,31.0499992370605,9.14999961853027
790499,"Paulownia tomentosa",-90.133038,29.944066,31.0747165679932,9.17439270019531,1914.51342773438,-0.00725376605987549,0.0110408291220665,0.00713761663064361,-0.25272524356842,0.0132108740508556,2.15207290649414,20.5499992370605,1914.19677734375,31.0499992370605,9.13000583648682
791715,"Paulownia tomentosa",-95.123608,29.474386,32.088565826416,8.68169975280762,1378.2822265625,-0.00123644387349486,-0.0187741313129663,-0.0150465741753578,-0.218713238835335,0.0188159123063087,4.64662504196167,20.75,1382.12731933594,32.0944519042969,8.7055492401123
784831,"Paulownia tomentosa",-97.867777,29.921165,34.5309791564941,6.47545576095581,882.435119628906,0.0118735553696752,-0.0285844020545483,-0.0279138423502445,-1.28326380252838,0.0309573169797659,5.10608816146851,20.1499996185303,883.08251953125,34.5499992370605,6.55000019073486
789975,"Paulownia tomentosa",-97.925072,29.872655,34.6342430114746,6.61115837097168,873.458190917969,0.0120141264051199,-0.00850800797343254,-0.0157202519476414,0.146364912390709,0.014722129330039,5.66699886322021,20.25,872.73388671875,34.6500015258789,6.65000009536743
791072,"Paulownia tomentosa",-98.815055,29.647378,33.3206367492676,6.17047691345215,944.146423339844,-0.00809846818447113,0.0815315619111061,0.103893123567104,-4.9308180809021,0.0820247232913971,1.66980075836182,19.3211154937744,947.857116699219,33.2922286987305,6.02111530303955
794028,"Paulownia tomentosa",-98.775513,29.827678,33.0133323669434,5.53947114944458,1045.34985351562,0.0189971793442965,0.0248855669051409,0.000819829641841352,0.215535745024681,0.0313130095601082,0.918785929679871,18.9409313201904,1044.45361328125,33.0318603515625,5.5575909614563
784841,"Paulownia tomentosa",-98.489303,29.455763,34.625919342041,6.82823705673218,811.420593261719,-0.0194502379745245,-0.0832970291376114,-0.0968980267643929,-1.63134491443634,0.0856424048542976,4.482994556427,20.4288845062256,816.478942871094,34.5962181091309,6.92888307571411
787913,"Paulownia tomentosa",-98.662383,29.487872,34.4554176330566,6.78907442092896,830.787719726562,-0.00596983171999454,0.00892574619501829,0.0166854318231344,-0.469412922859192,0.0107383551076055,2.16029691696167,20.24977684021,831.482238769531,34.4399909973145,6.74977731704712
788652,"Paulownia tomentosa",-98.5358,29.461437,34.6607093811035,6.92447662353516,829.681091308594,-7.87882599979639e-05,-0.0190216209739447,-0.0255618561059237,0.284045904874802,0.0190229322761297,4.70824718475342,20.4611053466797,830.074462890625,34.6586380004883,6.94999980926514
789076,"Paulownia tomentosa",-98.563232,29.499592,34.2804946899414,6.8259539604187,854.132507324219,-0.119500361382961,-0.101845353841782,-0.0446520894765854,0.734056174755096,0.15766453742981,3.8473973274231,20.0499992370605,863.085998535156,34.103328704834,6.65000009536743
789889,"Paulownia tomentosa",-98.527906,29.465362,34.6289710998535,6.93872928619385,832.979614257812,-0.00297193229198456,0.00243290816433728,0.00541360769420862,0.446770876646042,0.00384076754562557,2.45559573173523,20.4203681945801,832.692993164062,34.6203689575195,6.91443872451782
790289,"Paulownia tomentosa",-98.367927,29.527771,34.2541007995605,6.76367521286011,843.5009765625,-0.0242936052381992,-0.0430477298796177,-0.032724317163229,1.38830244541168,0.049449760466814,4.19860219955444,20.1190319061279,844.092529296875,34.2190322875977,6.75
790447,"Paulownia tomentosa",-98.535771,29.461351,34.6331405639648,6.8716197013855,830.778625488281,0.0178830511868,-0.0204716082662344,-0.0406001284718513,0.542798399925232,0.0271858852356672,5.4303994178772,20.4622173309326,829.983032226562,34.6595039367676,6.94999980926514
791561,"Paulownia tomentosa",-98.461791,29.496654,34.2972717285156,6.7668924331665,838.446533203125,0.0376945286989212,0.014587159268558,-0.00876569282263517,0.165749654173851,0.0404296070337296,0.369235128164291,20.25,836.0478515625,34.3499984741211,6.83999538421631
785626,"Paulownia tomentosa",-98.331183,29.547153,34.303638458252,6.74761486053467,897.381652832031,0.011053616181016,0.0203041434288025,0.0147913591936231,-1.74237310886383,0.0231200326234102,1.07226121425629,20.1317329406738,898.715698242188,34.3139495849609,6.75
784969,"Paulownia tomentosa",-98.201865,29.845604,33.932559967041,6.47813510894775,877.755249023438,-0.0483730584383011,0.0152757214382291,0.0531915612518787,-7.18363809585571,0.0507494919002056,2.83571338653564,19.6792125701904,889.305419921875,33.8498497009277,6.35031938552856
785473,"Paulownia tomentosa",-98.20184,29.845619,33.9325675964355,6.479416847229,877.746337890625,-0.0482298843562603,0.01609125174582,0.0536256544291973,-7.09757995605469,0.0508653186261654,2.81956934928894,19.6803359985352,889.190979003906,33.8498878479004,6.35033178329468
785681,"Paulownia tomentosa",-98.201772,29.845618,33.9325675964355,6.479416847229,877.746337890625,-0.0482298843562603,0.01609125174582,0.0536256544291973,-7.09757995605469,0.0508653186261654,2.81956934928894,19.6803359985352,889.190979003906,33.8498878479004,6.35033178329468
790083,"Paulownia tomentosa",-98.201783,29.845567,33.9325675964355,6.479416847229,877.746337890625,-0.0482298843562603,0.01609125174582,0.0536256544291973,-7.09757995605469,0.0508653186261654,2.81956934928894,19.6803359985352,889.190979003906,33.8498878479004,6.35033178329468
793131,"Paulownia tomentosa",-98.201878,29.84558,33.932559967041,6.47813510894775,877.755249023438,-0.0483730584383011,0.0152757214382291,0.0531915612518787,-7.18363809585571,0.0507494919002056,2.83571338653564,19.6792125701904,889.305419921875,33.8498497009277,6.35031938552856
794356,"Paulownia tomentosa",-99.019294,29.056781,35.7043647766113,7.55608463287354,743.4462890625,0.0324484221637249,0.0366089269518852,0.0526513531804085,-0.15099786221981,0.0489389896392822,0.845572531223297,21.4500007629395,740.2265625,35.75,7.55000019073486
