"species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
"Acer saccharum",-78.300301,36.154275,31.1653919219971,0.745157599449158,1138.70007324219,-0.00441347807645798,-0.100635580718517,0.0632589012384415,-3.99937033653259,0.100903451442719,4.66856098175049,15.6482563018799,1129.03869628906,31.1944427490234,0.75
"Acer saccharum",-79.809571,36.071454,30.9498748779297,-0.175514578819275,1153.07861328125,-0.0369696021080017,0.0898185819387436,-0.0620418153703213,3.63525414466858,0.0972828194499016,1.96126520633698,14.9499998092651,1168.48315429688,30.8500003814697,-0.25
"Acer saccharum",-79.801751,36.145835,30.7145042419434,-0.382514834403992,1176.26452636719,0.0841608867049217,-0.0579871311783791,0.054400272667408,-0.69025844335556,0.102382302284241,5.67987775802612,14.9195775985718,1151.71069335938,30.8515357971191,-0.281115919351578
"Acer saccharum",-79.809461,36.070413,30.839298248291,-0.317099273204803,1144.66235351562,0.00327185075730085,0.0845438688993454,-0.0513640083372593,-4.6156849861145,0.0847084224224091,1.53211557865143,14.9479293823242,1168.47985839844,30.8466739654541,-0.25
"Acer saccharum",-79.807712,36.070893,30.8424816131592,-0.315026462078094,1141.79345703125,-0.0133994277566671,0.0429464764893055,-0.0288667492568493,-7.65331554412842,0.0450034588575363,1.8732283115387,14.9499998092651,1167.48291015625,30.8500003814697,-0.25
"Acer saccharum",-79.801723,36.145971,30.6868591308594,-0.419973760843277,1175.26391601562,0.10139162093401,-0.0460816733539104,0.0496761202812195,-1.64591228961945,0.111603796482086,5.85660219192505,14.9199228286743,1151.65393066406,30.8523006439209,-0.281115919351578
"Acer saccharum",-79.808837,36.072235,30.6637058258057,-0.463244915008545,1175.30712890625,0.126328200101852,0.0609443634748459,-0.0143957585096359,-2.57804489135742,0.14072459936142,0.44949209690094,14.9499998092651,1168.03894042969,30.8500003814697,-0.25
"Acer saccharum",-79.807855,36.066773,30.8753681182861,-0.173678442835808,1163.99914550781,-0.0344481728971004,0.0111907506361604,-0.013148482888937,2.28113770484924,0.0362282171845436,2.82748961448669,14.9303007125854,1167.80224609375,30.8033390045166,-0.25
"Acer saccharum",-80.406455,36.751488,25.8710308074951,-3.42689609527588,1453.23937988281,0.0373855158686638,-0.0445452742278576,0.0740542486310005,-5.59804105758667,0.0581874363124371,5.41062068939209,10.9021186828613,1443.04211425781,25.9276695251465,-3.39788103103638
"Acer saccharum",-80.279701,36.131252,30.8054733276367,-0.660344362258911,1242.43518066406,-0.0241656135767698,-0.0490948744118214,0.0275506600737572,2.90202832221985,0.0547473952174187,4.25498247146606,14.6520709991455,1231.125,30.7532558441162,-0.746744513511658
"Acer saccharum",-80.279633,36.131267,30.8054733276367,-0.660344362258911,1242.43518066406,-0.0241656135767698,-0.0490948744118214,0.0275506600737572,2.90202832221985,0.0547473952174187,4.25498247146606,14.6520709991455,1231.125,30.7532558441162,-0.746744513511658
"Acer saccharum",-80.279861,36.131275,30.7405586242676,-0.694267868995667,1260.74963378906,0.0199910681694746,-0.0868773609399796,0.0637735426425934,3.51469230651855,0.0892662405967712,4.93855857849121,14.6531076431274,1230.93725585938,30.7548847198486,-0.745115041732788
"Acer saccharum",-80.301712,36.23172,30.6670913696289,-0.796046018600464,1284.22875976562,0.00913933105766773,-0.0357630886137486,0.0305844563990831,3.81354022026062,0.0369207933545113,4.96258640289307,14.5177717208862,1265.28125,30.6499996185303,-0.850000023841858
"Acer saccharum",-80.279922,36.131374,30.8109474182129,-0.616322696208954,1253.65148925781,-0.0388639979064465,-0.127707287669182,0.0774220004677773,2.24364638328552,0.133889600634575,4.41697263717651,14.6534538269043,1230.84362792969,30.7556133270264,-0.744386672973633
"Acer saccharum",-80.297914,36.873991,27.0155925750732,-2.94517540931702,1188.88037109375,-0.165339305996895,0.019394351169467,-0.0780347883701324,4.50519800186157,0.167251572012901,3.02482604980469,11.5526819229126,1214.8310546875,26.7986793518066,-3.0639955997467
"Acer saccharum",-81.841434,36.086522,22.7885189056396,-5.63274812698364,1650.79528808594,-0.0721500515937805,0.14124995470047,-0.180830031633377,4.93489503860474,0.159282833337784,2.043044090271,8.64206409454346,1683.49621582031,22.7520580291748,-5.60803937911987
"Acer saccharum",-81.831507,36.119645,23.2305278778076,-5.21322917938232,1674.69189453125,-0.167328059673309,-0.351233303546906,0.422568798065186,-5.96722841262817,0.39960515499115,4.26779794692993,8.89196109771729,1664.98498535156,23.0595970153809,-5.48686361312866
"Acer saccharum",-81.675102,36.212585,24.9260215759277,-4.08241987228394,1515.02307128906,0.0491573922336102,-0.111280329525471,0.147426307201385,0.208420529961586,0.12195635586977,5.12835597991943,10.5455436706543,1485.74035644531,24.9455432891846,-4.154456615448
"Acer saccharum",-81.831292,36.119433,23.0868949890137,-5.3493332862854,1694.07263183594,-0.0482169725000858,-0.296839863061905,0.36341392993927,-10.0160064697266,0.305458426475525,4.55136108398438,8.86344242095947,1666.90710449219,23.0318183898926,-5.5090856552124
"Acer saccharum",-81.682115,36.222371,24.4766216278076,-4.68506193161011,1451.6337890625,-0.0155400084331632,0.200942635536194,-0.26307475566864,-2.32917499542236,0.202932626008987,1.64797830581665,10.1232633590698,1488.86413574219,24.5099239349365,-4.51671886444092
"Acer saccharum",-81.68741,36.213883,24.5109176635742,-4.66543960571289,1420.81616210938,0.161970913410187,0.4222771525383,-0.544531404972076,8.30014610290527,0.469314366579056,1.20453751087189,10.2732763290405,1453.14013671875,24.6732769012451,-4.34633827209473
"Acer saccharum",-81.823822,36.124006,23.0360145568848,-5.59409618377686,1671.02087402344,0.179219037294388,0.242763549089432,-0.288802057504654,13.5861835479736,0.306528627872467,0.934860825538635,8.96114158630371,1665.4052734375,23.1342601776123,-5.42575407028198
"Acer saccharum",-81.690983,36.22178,24.5483474731445,-4.54036664962769,1426.80004882812,-0.0775319412350655,0.0553046278655529,-0.0738561376929283,-0.914785623550415,0.0953800678253174,2.52198672294617,10.0966205596924,1450.36450195312,24.4859504699707,-4.5287013053894
"Acer saccharum",-81.669792,36.226683,24.6606559753418,-4.4034366607666,1471.80285644531,-0.359874159097672,-0.0753545537590981,0.087810754776001,1.25386333465576,0.376511782407761,3.3480019569397,9.91504573822021,1526.17956542969,24.3294944763184,-4.65093374252319
"Acer saccharum",-81.713484,36.328388,22.18532371521,-6.11347961425781,1555.20520019531,-0.216150313615799,-0.359845161437988,0.498559474945068,3.23216843605042,0.433195352554321,4.17147254943848,7.89559268951416,1573.05700683594,21.9225788116455,-6.43139314651489
"Acer saccharum",-81.677777,36.134485,24.3917388916016,-4.44993162155151,1648.38391113281,-0.00729534914717078,0.0776569619774818,-0.0999069958925247,1.30664384365082,0.0780781880021095,1.66446471214294,9.96238708496094,1663.7021484375,24.3968257904053,-4.40317440032959
"Acer saccharum",-81.799508,36.304552,24.8642692565918,-3.73485279083252,1417.58959960938,-0.119668580591679,-0.523127734661102,0.682672321796417,25.8913631439209,0.566450893878937,4.48750257492065,10.294958114624,1339.77368164062,24.588285446167,-4.53673124313354
"Acer saccharum",-81.676647,36.214349,25.1379909515381,-4.0271692276001,1451.35534667969,-0.230619430541992,-0.0337894782423973,0.0349740013480186,2.12488150596619,0.235245406627655,3.28707361221313,10.503321647644,1485.01550292969,24.9033222198486,-4.19667863845825
"Acer saccharum",-81.7924,36.1212,22.4522666931152,-5.87893486022949,1644.49304199219,-0.340452402830124,0.141492962837219,-0.204925879836082,-15.4037799835205,0.377593219280243,2.74770832061768,8.23375701904297,1728.87084960938,22.3770942687988,-5.91514301300049
"Acer saccharum",-81.793583,36.122117,22.4640846252441,-5.87241744995117,1636.78564453125,-0.342770040035248,0.151203081011772,-0.216600030660629,-4.53685617446899,0.384006381034851,2.72614693641663,8.20412826538086,1725.18212890625,22.3330211639404,-5.94143772125244
"Acer saccharum",-81.779028,36.220135,25.2379302978516,-3.74138975143433,1217.79345703125,0.0379577055573463,-0.270533919334412,0.342734813690186,5.97625207901001,0.276701182126999,4.85178565979004,10.8961801528931,1173.1201171875,25.296178817749,-4.01048135757446
"Acer saccharum",-81.846251,36.085003,23.1405487060547,-5.38780164718628,1615.2763671875,-0.178631946444511,0.103831425309181,-0.146294116973877,4.81302642822266,0.208115458488464,2.61506724357605,8.89385318756104,1665.47692871094,23.0231056213379,-5.43539810180664
"Acer saccharum",-81.713484,36.328377,22.18532371521,-6.11347961425781,1555.20520019531,-0.216150313615799,-0.359845161437988,0.498559474945068,3.23216843605042,0.433195352554321,4.17147254943848,7.89559268951416,1573.05700683594,21.9225788116455,-6.43139314651489
"Acer saccharum",-81.787543,36.098394,23.0468502044678,-5.18189716339111,1702.34875488281,-0.395199507474899,-0.127700373530388,0.112336732447147,-7.14476156234741,0.428293645381927,3.45413136482239,8.6618127822876,1769.37731933594,22.8299446105957,-5.44005918502808
"Acer saccharum",-81.681747,36.214104,24.7992935180664,-4.30767965316772,1464.75,-0.00122358009684831,-0.000845861446578056,0.00105837534647435,-7.21721792221069,0.0014874916523695,3.74645614624023,10.4394121170044,1471.66625976562,24.839412689209,-4.23780345916748
"Acer saccharum",-81.916595,36.170108,23.9569358825684,-5.15194416046143,1303.40490722656,0.1189369186759,0.0559822022914886,-0.0740784481167793,-16.2406902313232,0.131834968924522,0.439924418926239,9.95657825469971,1302.28784179688,24.1499176025391,-4.83010101318359
"Acer saccharum",-81.872457,36.158672,24.1862983703613,-4.66162347793579,1469.83410644531,-0.305232763290405,-0.241633981466293,0.299134403467178,1.60114276409149,0.399870872497559,3.81121420860291,9.66974925994873,1493.25439453125,23.8697509765625,-4.99370956420898
"Acer saccharum",-81.87355,36.161884,23.7693405151367,-5.14370822906494,1498.58715820312,0.129327893257141,0.10423069447279,-0.129669174551964,-2.39761471748352,0.166875034570694,0.678353190422058,9.70876026153564,1490.61682128906,23.9087600708008,-4.98741674423218
"Acer saccharum",-81.783957,36.103927,22.4655513763428,-5.79314994812012,1834.19152832031,0.284220993518829,0.0194128341972828,0.00733758648857474,-7.49103498458862,0.288884580135345,0.0681959837675095,8.52234268188477,1772.73779296875,22.6674060821533,-5.62259721755981
"Acer saccharum",-81.713391,36.32855,22.1573581695557,-6.10391664505005,1565.75634765625,-0.188549399375916,-0.410905629396439,0.563142418861389,5.00170373916626,0.469118148088455,4.2821888923645,7.87535667419434,1574.0693359375,21.8981819152832,-6.44746828079224
