"X","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
794897,"Persea borbonia",-80.686174,25.409003,30.9179267883301,16.0020198822021,1476.89367675781,1.0622118224803e-34,1.73472347597681e-18,2.45963416593077e-18,0.0084144864231348,1.73472347597681e-18,1.57079637050629,24.1499996185303,1476.84680175781,30.910005569458,15.9899940490723
795145,"Persea borbonia",-80.679443,25.422777,30.9822006225586,15.8374223709106,1490.2919921875,2.1244236449606e-34,3.46944695195361e-18,4.8900084720537e-18,-0.00230133207514882,3.46944695195361e-18,1.57079637050629,24.1499996185303,1490.27600097656,30.9744510650635,15.8255500793457
794690,"Persea borbonia",-80.671281,25.692862,31.9589462280273,14.4601745605469,1667.69848632812,-5.00666089919832e-07,0.000224896662984975,0.000275354919722304,0.0103246765211225,0.000224897215957753,1.57302248477936,23.8500003814697,1667.38452148438,31.9500007629395,14.4478178024292
795072,"Persea borbonia",-80.671761,25.706726,31.9586868286133,14.422703742981,1670.29211425781,4.2488472899212e-34,6.93889390390723e-18,8.42598431990404e-18,0.00854261871427298,6.93889390390723e-18,1.57079637050629,23.8500003814697,1670.09765625,31.9500007629395,14.4109983444214
794730,"Persea borbonia",-80.604551,25.42061,30.7568054199219,16.1596908569336,1499.96618652344,-3.18663523785216e-34,-1.73472347597681e-18,-2.52760442404486e-18,0.00155359599739313,1.73472347597681e-18,4.71238899230957,24.25,1499.92919921875,30.7489318847656,16.147777557373
794827,"Persea borbonia",-80.608894,25.382036,30.4773426055908,16.6262741088867,1470.40539550781,-3.18663523785216e-34,-1.73472347597681e-18,-2.58031444062827e-18,-0.00630019744858146,1.73472347597681e-18,4.71238899230957,24.25,1470.41625976562,30.4697551727295,16.6144390106201
795452,"Persea borbonia",-80.571038,25.61369,31.5579452514648,14.9613218307495,1615.70556640625,-6.37327047570432e-34,-3.46944695195361e-18,-4.68490035377475e-18,-0.0144630232825875,3.46944695195361e-18,4.71238899230957,24.0499992370605,1615.64807128906,31.5499992370605,14.9498271942139
795008,"Persea borbonia",-80.533826,25.806128,31.7468109130859,14.9734487533569,1609.76513671875,2.1244236449606e-34,3.46944695195361e-18,4.41075243284966e-18,0.00724838394671679,3.46944695195361e-18,1.57079637050629,23.9500007629395,1609.62084960938,31.738353729248,14.9616451263428
794894,"Persea borbonia",-81.5833,25.9833,31.0318470001221,14.9392595291138,1462.19079589844,0.00195090961642563,0.00596061209216714,0.00470092752948403,-0.135759845376015,0.00627179862931371,1.25448536872864,23.8255805969238,1461.08471679688,31.0266456604004,14.923303604126
794898,"Persea borbonia",-81.101616,25.862809,31.5581722259521,14.721830368042,1479.86145019531,1.15909806481795e-05,-0.00196752441115677,-0.00166924681980163,0.00153771159239113,0.00196756003424525,4.71827983856201,23.8822269439697,1480.259765625,31.5517921447754,14.7140035629272
795041,"Persea borbonia",-81.152349,25.867241,31.2760620117188,14.9096212387085,1470.64172363281,-0.00262111355550587,-0.000176257715793326,-0.000660268240608275,-0.00488222949206829,0.0026270360685885,3.20873689651489,23.8500003814697,1471.55224609375,31.263744354248,14.8911056518555
795444,"Persea borbonia",-80.468232,26.646101,31.1910839080811,15.1189889907837,1479.548828125,-0.0081550283357501,0.00266471155919135,0.00295996223576367,-0.776994526386261,0.00857945159077644,2.82577252388,23.6499996185303,1483.59191894531,31.1818542480469,15.0863046646118
794674,"Persea borbonia",-81.890031,26.973911,31.9313259124756,12.4225263595581,1338.55065917969,0.0133398277685046,-0.00367374788038433,0.0028371459338814,-0.0458758808672428,0.013836894184351,6.01445007324219,23.0934543609619,1334.26940917969,31.9500007629395,12.4499998092651
795317,"Persea borbonia",-81.890788,26.975147,31.8662967681885,12.3331623077393,1340.28735351562,0.0331416837871075,-0.0179645773023367,0.00212374329566956,-1.4756383895874,0.0377063788473606,5.78646326065063,23.0790348052979,1334.15942382812,31.9500007629395,12.4499998092651
794683,"Persea borbonia",-81.526135,26.489682,31.9685306549072,12.8722352981567,1416.44763183594,-0.00694307358935475,-0.00438600685447454,-0.00537459831684828,0.0746825039386749,0.00821248069405556,3.70500230789185,23.3500003814697,1419.34448242188,31.9500007629395,12.8500003814697
794847,"Persea borbonia",-81.609463,26.375412,31.5332813262939,13.5473289489746,1454.87548828125,-0.00152525480370969,0.00263198278844357,0.000971955712884665,-0.0829934775829315,0.00304200011305511,2.09601187705994,23.4016304016113,1455.50415039062,31.523042678833,13.5285882949829
794792,"Persea borbonia",-80.344832,27.420196,30.4500675201416,15.4228248596191,1454.09680175781,0.00650134775787592,0.022203529253602,0.0200969520956278,0.0910320356488228,0.0231378432363272,1.28595161437988,23.4500007629395,1447.23522949219,30.4374027252197,15.3814859390259
795362,"Persea borbonia",-80.354713,27.354312,30.5411396026611,15.1996049880981,1464.03686523438,0.070667453110218,0.0308440364897251,0.0244265478104353,-0.373369038105011,0.0771820098161697,0.411543369293213,23.4500007629395,1442.0830078125,30.6544399261475,15.3455610275269
795479,"Persea borbonia",-80.488043,27.374989,31.5685958862305,13.9553279876709,1415.25744628906,-0.00355464522726834,-0.00780757702887058,-0.00693419994786382,0.276040256023407,0.00857878569513559,4.28515148162842,23.1967124938965,1416.76892089844,31.5544395446777,13.9455604553223
