"X","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
281599,"Betula nigra",-82.94715,29.564769,31.3495140075684,8.76920032501221,1371.65258789062,-0.00539690814912319,-0.00646154023706913,-0.000488148129079491,-0.278746694326401,0.00841901358217001,4.01652908325195,20.4500007629395,1373.23815917969,31.3397331237793,8.75
281944,"Betula nigra",-82.963737,29.632345,31.7325344085693,8.53993988037109,1367.27783203125,-0.0309105440974236,0.0171673223376274,-0.0039459909312427,1.21984159946442,0.0353652387857437,2.63462281227112,20.4500007629395,1374.22778320312,31.6420040130615,8.41532611846924
282521,"Betula nigra",-82.9351,29.5899,31.4813957214355,8.57450199127197,1373.30249023438,-7.73626816226169e-05,-0.0141095463186502,0.000312328396830708,1.70013880729675,0.0141102261841297,4.70690584182739,20.4500007629395,1366.13598632812,31.4500007629395,8.55000019073486
282659,"Betula nigra",-82.944641,29.571733,31.3676013946533,8.73765087127686,1368.34460449219,-0.000586343987379223,0.00629673153162003,-0.000222057235077955,-0.29553434252739,0.00632401462644339,1.66364729404449,20.4500007629395,1370.32385253906,31.3622283935547,8.72411441802979
281645,"Betula nigra",-82.953583,29.959467,32.2039833068848,7.80609941482544,1364.36853027344,-0.00105703191366047,0.0210637915879488,-0.000352132832631469,2.21539425849915,0.0210918597877026,1.62093663215637,20.2186241149902,1360.44226074219,32.1500015258789,7.75
283514,"Betula nigra",-82.9282,29.9591,32.1413269042969,7.73439264297485,1354.25390625,0.00670268572866917,-0.014678523875773,0.000862046494148672,0.0909868627786636,0.0161371510475874,5.14074468612671,20.1836967468262,1350.375,32.1500015258789,7.75
285221,"Betula nigra",-82.770566,29.920217,32.090087890625,7.66870927810669,1345.33642578125,0.0169045347720385,-0.0426075495779514,0.00162403017748147,-1.32472956180573,0.0458545535802841,5.09009027481079,20.25,1339.73669433594,32.1500015258789,7.75
281207,"Betula nigra",-82.358466,29.62818,32.0010566711426,8.38019561767578,1252.73815917969,-0.0210964325815439,-0.013003570958972,-0.00398085732012987,-2.40128517150879,0.0247846338897943,3.69397449493408,20.3500003814697,1263.49011230469,31.9950065612793,8.35000038146973
281274,"Betula nigra",-82.368161,29.634936,31.9261703491211,8.33340740203857,1260.81982421875,5.05320485899574e-06,-0.00345402024686337,-0.000115936949441675,-2.11769104003906,0.00345403072424233,4.71385192871094,20.3500003814697,1266.34545898438,31.9500007629395,8.35000038146973
281301,"Betula nigra",-82.334264,29.640533,31.8974323272705,8.34726333618164,1272.44006347656,-0.00510486867278814,-0.00509316427633166,-0.00102661841083318,-2.0071394443512,0.00721116550266743,3.92584300041199,20.3348846435547,1278.94555664062,31.9122161865234,8.35000038146973
