"X","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
942365,"Quercus coccinea",-84.980103,31.626276,32.4118804931641,5.25557851791382,1343.77136230469,0.00480357464402914,0.137108236551285,-0.00770359765738249,4.08887052536011,0.13762640953064,1.5357757806778,18.7066764831543,1348.47985839844,32.3066749572754,5.14000463485718
941632,"Quercus coccinea",-86.473861,31.726499,32.4558334350586,5.04315996170044,1422.25927734375,-0.0791158899664879,0.0188263040035963,0.00329698855057359,5.71101379394531,0.0814149007201195,2.90797877311707,18.4258899688721,1423.03137207031,32.206226348877,4.75
939394,"Quercus coccinea",-88.667568,31.988824,32.7328453063965,4.60240983963013,1449.67822265625,-0.0611074157059193,-0.0521802566945553,0.00753015605732799,0.423042356967926,0.0804415345191956,3.84835243225098,18.3677845001221,1454.09936523438,32.6266670227051,4.44999980926514
940539,"Quercus coccinea",-88.667528,31.988674,32.5404853820801,4.32343864440918,1463.92272949219,0.0506998002529144,-0.00117761886212975,-0.00632847659289837,0.0711336433887482,0.0507352389395237,6.25996208190918,18.3655624389648,1454.0390625,32.6244468688965,4.44999980926514
939362,"Quercus coccinea",-84.843597,32.835131,31.2630043029785,3.4042341709137,1370.12292480469,-0.0434479564428329,0.0510612577199936,-0.0196198001503944,2.6065616607666,0.0670949220657349,2.27581191062927,17.0612545013428,1382.6552734375,31.134593963623,3.26895761489868
941099,"Quercus coccinea",-85.934945,32.867217,31.727331161499,3.7852246761322,1421.81042480469,-0.0476822182536125,0.0484213158488274,-0.00485653430223465,8.44032955169678,0.0680098831653595,2.34850406646729,17.4636058807373,1412.88757324219,31.4922161102295,3.54999995231628
939351,"Quercus coccinea",-85.64553,32.145751,31.9603309631348,4.08502626419067,1418.1240234375,-0.030255850404501,-0.0561285689473152,0.00342396460473537,-1.52614796161652,0.0638071745634079,4.21799516677856,17.8500003814697,1422.59289550781,31.9445018768311,4.04338502883911
940707,"Quercus coccinea",-85.482862,32.595888,31.6478233337402,3.85887455940247,1334.81726074219,-0.119552835822105,-0.00372980255633593,-0.0134217999875546,-0.473051965236664,0.119898058474064,3.17278051376343,17.4500007629395,1364.93505859375,31.4500007629395,3.59221768379211
941402,"Quercus coccinea",-85.41679,32.584527,31.4018211364746,3.44384384155273,1382.14245605469,0.0250381920486689,-0.165176466107368,0.0190854072570801,0.331174194812775,0.167850449681282,4.86282825469971,17.4844379425049,1352.70825195312,31.4844379425049,3.54999995231628
939381,"Quercus coccinea",-85.237751,32.186406,32.3173332214355,4.2139630317688,1336.64245605469,-0.00214237812906504,0.0847386047244072,-0.0094717051833868,1.29864454269409,0.0848675221204758,1.59607315063477,18.162088394165,1345.36975097656,32.2620887756348,4.15000009536743
939344,"Quercus coccinea",-86.788593,32.265973,32.341480255127,4.20080280303955,1413.96435546875,-0.0266539230942726,0.023309214040637,0.0023792355787009,5.09598827362061,0.0354157499969006,2.42303824424744,18.0933380126953,1405.84704589844,32.1981544494629,4.05000019073486
940769,"Quercus coccinea",-86.807201,32.662627,31.9598503112793,3.67695069313049,1397.51647949219,-0.0603769980370998,-0.0236365459859371,0.0034323304425925,-1.7895975112915,0.0648843050003052,3.51473498344421,17.684440612793,1412.73303222656,31.8844413757324,3.54999995231628
939450,"Quercus coccinea",-87.39764,32.95629,32.2590408325195,3.62990736961365,1448.58557128906,-0.000507076794747263,0.0899878367781639,0.0069052348844707,1.19368052482605,0.0901111662387848,1.57643127441406,17.75,1451.93493652344,32.1966705322266,3.54999995231628
941723,"Quercus coccinea",-87.433637,32.921692,31.726713180542,2.86221861839294,1486.16015625,0.268872857093811,0.152508810162544,-0.0270259398967028,-7.7649998664856,0.31426140666008,0.515964210033417,17.7919387817383,1475.70861816406,32.279712677002,3.54999995231628
939396,"Quercus coccinea",-88.453487,32.502153,32.9293212890625,4.09049701690674,1434.8603515625,-0.100597262382507,-0.125177681446075,0.026469936594367,6.8795166015625,0.161288738250732,4.03543519973755,18.0799980163574,1413.6748046875,32.6722183227539,3.77999806404114
939393,"Quercus coccinea",-88.058889,32.579722,32.7804641723633,3.93440842628479,1519.86950683594,-0.0103839337825775,-0.0598483309149742,0.00450373347848654,6.19356155395508,0.0607798919081688,4.54059505462646,18.1030960083008,1493.17150878906,32.662109375,3.84999990463257
940447,"Quercus coccinea",-88.05,32.57,32.6308212280273,3.96554946899414,1469.27282714844,-0.089406855404377,-0.164579913020134,0.0186111442744732,-9.68109893798828,0.188409626483917,4.21474838256836,18.1009407043457,1498.55810546875,32.6969718933105,3.90491485595703
940900,"Quercus coccinea",-80.4807,33.515762,32.1475219726562,4.05944156646729,1190.55676269531,0.0634537115693092,0.0608001984655857,-0.0114551531150937,-0.286779224872589,0.0879943296313286,0.764045834541321,18.0499992370605,1188.31701660156,32.2333374023438,4.18426609039307
940640,"Quercus coccinea",-81.851076,33.41211,32.5429306030273,3.45264196395874,1211.90539550781,-0.00222119851969182,-0.056258212774992,0.0176420602947474,-0.306373238563538,0.0563318319618702,4.67292737960815,17.75,1203.46557617188,32.5499992370605,3.45129418373108
941124,"Quercus coccinea",-81.576377,33.309808,32.7022018432617,3.84631752967834,1232.93005371094,-0.0311032868921757,-0.0279708225280046,0.00965354219079018,3.59446740150452,0.041842594742775,3.87401437759399,17.925500869751,1225.01330566406,32.6144409179688,3.72550082206726
