"X","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
15,"Abies fraseri",-83.81089,34.8745,24.2121105194092,-3.21781659126282,2043.61486816406,0.259830266237259,0.164947405457497,0.00267630466260016,59.1727180480957,0.312843322753906,0.565635085105896,9.99559307098389,1982.23596191406,23.7411556243896,-3.01664543151855
247,"Abies fraseri",-83.810988,34.874253,24.4276943206787,-2.93199706077576,1953.19799804688,-0.198041081428528,-0.0575301758944988,-0.0247197933495045,57.4400177001953,0.207718521356583,3.42430758476257,9.97892665863037,1981.51171875,23.721155166626,-3.0255343914032
478,"Abies fraseri",-83.810261,34.872591,24.0093593597412,-2.84323644638062,1897.51184082031,-0.416561037302017,-0.0291938204318285,-0.0832325220108032,14.1465940475464,0.430783450603485,3.21156120300293,9.92559337615967,1986.36157226562,23.6478214263916,-3.04775667190552
666,"Abies fraseri",-83.416786,34.90874,26.1217975616455,-1.88120520114899,2182.28369140625,0.271981775760651,-0.108133375644684,0.148383140563965,17.3403778076172,0.297037899494171,5.9047703742981,11.8333673477173,2059.75708007812,26.0183734893799,-1.82998263835907
153,"Abies fraseri",-81.890384,35.796516,29.4450836181641,-1.02177894115448,1369.59240722656,-0.023388622328639,0.00697820726782084,-0.0154154598712921,-5.65051221847534,0.0244098622351885,2.85164189338684,14.2033290863037,1391.61389160156,29.4666633605957,-0.989999771118164
3,"Abies fraseri",-82.941039,35.30652,21.234167098999,-6.37740993499756,2111.53369140625,0.378269106149673,-0.210475564002991,0.264859825372696,7.10415172576904,0.44768825173378,5.7754282951355,7.45487546920776,2010.21325683594,21.2548751831055,-6.24500942230225
24,"Abies fraseri",-82.963395,35.325137,21.048713684082,-6.52089929580688,1906.61364746094,-0.258395731449127,0.213518679141998,-0.234602615237236,13.6173543930054,0.341816753149033,2.45100522041321,7.20389890670776,1996.72412109375,20.9613838195801,-6.50972461700439
30,"Abies fraseri",-82.855854,35.316814,22.3208160400391,-5.66858243942261,1992.53649902344,-0.0475840605795383,-0.100731715559959,0.078315481543541,41.0642852783203,0.111636951565742,4.27107715606689,8.07930850982666,2023.98022460938,22.0070838928223,-5.59638977050781
58,"Abies fraseri",-82.897256,35.305192,21.0235404968262,-6.43093872070312,2070.79125976562,0.165376245975494,-0.0576046109199524,0.0904375910758972,3.25194597244263,0.176029324531555,5.9480037689209,7.24783945083618,2030.61352539062,21.0345344543457,-6.35326099395752
62,"Abies fraseri",-82.882545,35.326108,20.3918685913086,-6.99103450775146,1988.56066894531,0.113659486174583,0.130914926528931,-0.0911997631192207,13.2328853607178,0.174250572919846,0.855834364891052,6.64108657836914,1984.86267089844,20.4055366516113,-6.81162071228027
138,"Abies fraseri",-82.883488,35.326849,20.347448348999,-7.17857360839844,2041.48559570312,0.380785554647446,0.272317588329315,-0.157108262181282,15.1151247024536,0.487184017896652,0.620819509029388,6.67664194107056,1979.73828125,20.4499816894531,-6.78668212890625
143,"Abies fraseri",-82.911253,35.305374,21.3174133300781,-6.16719532012939,2001.51062011719,0.0159422159194946,0.266872048377991,-0.230987101793289,-0.876895010471344,0.270639568567276,1.51112997531891,7.60557270050049,2019.24401855469,21.3916816711426,-6.03610563278198
157,"Abies fraseri",-82.931847,35.301061,20.9940567016602,-6.27188682556152,1948.43225097656,-0.281479299068451,-0.00379266263917089,-0.0598910748958588,-2.25819182395935,0.285362005233765,3.1550657749176,7.1621208190918,2013.71752929688,20.9276657104492,-6.43897342681885
178,"Abies fraseri",-82.921554,35.331069,20.9417037963867,-6.85668087005615,1913.89025878906,-0.0673224180936813,0.154146954417229,-0.150714829564095,42.5787239074707,0.16901046037674,1.9825701713562,6.98792028427124,1988.73522949219,20.7929534912109,-6.64319181442261
208,"Abies fraseri",-82.914722,35.2925,21.6850471496582,-6.01920509338379,1986.87426757812,0.130078956484795,0.395843714475632,-0.313740998506546,5.773108959198,0.4297776222229,1.25330102443695,7.97554111480713,1997.97644042969,21.7899837493896,-5.73890161514282
215,"Abies fraseri",-82.893098,35.322214,20.5824584960938,-6.64070701599121,2046.2158203125,0.153954863548279,0.0853002443909645,-0.0411538667976856,-16.8729133605957,0.176927968859673,0.505955040454865,6.98610973358154,1993.86340332031,20.703893661499,-6.59610652923584
216,"Abies fraseri",-82.925408,35.309262,20.7716999053955,-6.66144466400146,2034.49682617188,0.0484608449041843,-0.108403250575066,0.105879232287407,10.5623807907104,0.119023054838181,5.1327805519104,6.95224714279175,2029.97619628906,20.7155857086182,-6.62820291519165
220,"Abies fraseri",-82.88,35.3,22.5372333526611,-5.13210678100586,2025.58959960938,-0.172845363616943,-0.50645649433136,0.40342316031456,17.2094955444336,0.564672231674194,4.38350009918213,8.31862735748291,2023.63000488281,22.2140865325928,-5.42802095413208
223,"Abies fraseri",-82.908428,35.305164,21.3157405853271,-6.11165475845337,2049.46142578125,0.105467468500137,-0.0451388396322727,0.0643411502242088,-0.182474941015244,0.114974111318588,5.87878608703613,7.57667636871338,2020.83630371094,21.3333415985107,-6.07999658584595
